,POCKET_RMSD,LIGAND_RMSD
complex_0,1.0736666917800903,3.69117
step1_200.xyz_0,1.0736666917800903,3.58061
step2_200_2000_5.0_16930.xyz_0,1.242095112800598,1.85259
step2_200_2000_5.0_2177.xyz_0,1.47052264213562,2.7299
step2_200_2000_5.0_27766.xyz_0,1.5637614727020264,4.63561
step2_200_2000_5.0_28005.xyz_0,1.945903778076172,2.65427
step2_200_2000_5.0_4094.xyz_0,1.4365757703781128,2.74522
step2_200_2000_5.0_47873.xyz_0,1.8427507877349851,3.34223
step2_200_2000_5.0_77285.xyz_0,1.9378979206085205,3.92835
step2_200_2000_5.0_85412.xyz_0,1.3809551000595093,2.54233
step2_200_2000_5.0_86398.xyz_0,2.1044018268585205,4.97934
step2_200_2000_5.0_86498.xyz_0,1.597287654876709,3.3057
