,POCKET_RMSD,LIGAND_RMSD
complex_1,1.7062636613845823,4.41522
step1_200.xyz_1,1.7062636613845823,4.32461
step2_200_2000_5.0_13001.xyz_1,2.025351047515869,3.64128
step2_200_2000_5.0_15568.xyz_1,2.1449990272521973,3.62725
step2_200_2000_5.0_16930.xyz_1,1.7906911373138428,4.92579
step2_200_2000_5.0_2177.xyz_1,1.9762933254241943,2.83433
step2_200_2000_5.0_21878.xyz_1,1.9211748838424685,4.55305
step2_200_2000_5.0_22633.xyz_1,2.254923105239868,2.82511
step2_200_2000_5.0_23287.xyz_1,2.9046905040740967,5.44922
step2_200_2000_5.0_27766.xyz_1,1.887622117996216,5.47874
step2_200_2000_5.0_28005.xyz_1,2.507258653640747,5.57495
step2_200_2000_5.0_40251.xyz_1,2.0803818702697754,3.13358
step2_200_2000_5.0_4094.xyz_1,2.122720956802368,2.49564
step2_200_2000_5.0_41842.xyz_1,1.886638879776001,4.84183
step2_200_2000_5.0_47873.xyz_1,1.9964776039123533,3.51271
step2_200_2000_5.0_52593.xyz_1,11.299851417541504,16.41574
step2_200_2000_5.0_6798.xyz_1,1.7190372943878174,5.03257
step2_200_2000_5.0_77285.xyz_1,2.1114954948425293,4.31021
step2_200_2000_5.0_85083.xyz_1,1.7650688886642456,3.20406
step2_200_2000_5.0_85412.xyz_1,10.120512962341309,12.63027
step2_200_2000_5.0_86398.xyz_1,2.2122364044189453,3.6923
step2_200_2000_5.0_86498.xyz_1,1.8454158306121824,3.18995
