,ENERGY
step2_200_2000_5.0_13001.xyz_1,9065.048828125
step2_200_2000_5.0_15568.xyz_1,7027.8740234375
step2_200_2000_5.0_16930.xyz_1,6786.42529296875
step2_200_2000_5.0_2177.xyz_1,11791.8076171875
step2_200_2000_5.0_21878.xyz_1,77140.2109375
step2_200_2000_5.0_22633.xyz_1,9788.673828125
step2_200_2000_5.0_23287.xyz_1,6964.302734375
step2_200_2000_5.0_27766.xyz_1,7652.36669921875
step2_200_2000_5.0_28005.xyz_1,7937.74365234375
step2_200_2000_5.0_40251.xyz_1,7505.2373046875
step2_200_2000_5.0_4094.xyz_1,13511.03515625
step2_200_2000_5.0_41842.xyz_1,8378.5068359375
step2_200_2000_5.0_47873.xyz_1,15337.1259765625
step2_200_2000_5.0_52593.xyz_1,53809380.0
step2_200_2000_5.0_6798.xyz_1,12652.9931640625
step2_200_2000_5.0_77285.xyz_1,48427256.0
step2_200_2000_5.0_85083.xyz_1,8191.2919921875
step2_200_2000_5.0_85412.xyz_1,13080.912109375
step2_200_2000_5.0_86398.xyz_1,8136.0166015625
step2_200_2000_5.0_86498.xyz_1,437990.53125
