,POCKET_RMSD,LIGAND_RMSD
complex.gro,1.0736666917800903,3.69117
step1_200.xyz.gro,1.0736666917800903,3.58061
step2_200_2000_5.0_16930.xyz.gro,1.2420951128005981,1.85259
step2_200_2000_5.0_2177.xyz.gro,1.4705226421356201,2.7299
step2_200_2000_5.0_27766.xyz.gro,1.5637614727020264,4.63561
step2_200_2000_5.0_28005.xyz.gro,1.9459037780761719,2.65427
step2_200_2000_5.0_4094.xyz.gro,1.4365757703781128,2.74522
step2_200_2000_5.0_47873.xyz.gro,1.8427507877349854,3.34223
step2_200_2000_5.0_77285.xyz.gro,1.9378979206085205,3.92835
step2_200_2000_5.0_85412.xyz.gro,1.3809551000595093,2.54233
step2_200_2000_5.0_86398.xyz.gro,2.1044018268585205,4.97934
step2_200_2000_5.0_86498.xyz.gro,1.597287654876709,3.3057
