	cocry_2d1j_D01_LIG	cocry_2y82_930_LIG	dekois2_decoy_1	dekois2_ligand_1	dude_decoy_1	dude_ligand_1
complex_1	-9.87437	-7.79699	-6.60239	-10.72157	-8.35782	-8.44541
step1_200.xyz_1	-9.19368	-7.70006	-6.45397	-10.67978	-8.43259	-8.53398
step2_200_2000_5.0_16930.xyz_1	-7.0622	-8.05314	2.67345	1.65657	2.69496	-0.00258
step2_200_2000_5.0_2177.xyz_1	-10.34712	-1.5161	-1.90337	-0.03785	-2.79536	7.00259
step2_200_2000_5.0_27766.xyz_1	-8.31056	25.48024	26.21942	-3.05024	-4.66096	-0.82736
step2_200_2000_5.0_28005.xyz_1	-9.09222	-3.44095	12.32285	14.91856	-1.0438	-6.47765
step2_200_2000_5.0_4094.xyz_1	-5.42183	-6.03484	5.95656	3.39544	-2.86259	-2.16495
step2_200_2000_5.0_47873.xyz_1	-6.82368	-4.00431	11.73832	4.01096	3.19819	-2.75366
step2_200_2000_5.0_77285.xyz_1	-8.01328	-6.26548	-0.09	-0.28907	-1.8747	35.40535
step2_200_2000_5.0_85412.xyz_1	-8.31529	-3.69071	28.40686	6.74944	-5.79199	2.64994
step2_200_2000_5.0_86398.xyz_1	-6.30594	-8.4863	6.33874	8.47269	-0.75946	3.49681
step2_200_2000_5.0_86498.xyz_1	-6.73112	-8.04627	-2.79425	11.29816	-3.75229	4.28034
