	1ezq_RPR_LIG	1f0r_815_LIG	1f0s_PR2_LIG	1fax_DX9_LIG	1g2l_T87_LIG	1g2m_R11_LIG	1ioe_XMA_LIG	1iqe_XMB_LIG	1iqf_XMD_LIG	1iqg_XME_LIG	1iqh_XMF_LIG	1iqi_XMG_LIG	1iqj_XMH_LIG	1iqk_XMI_LIG	1iql_XMJ_LIG	1iqm_XMK_LIG	1iqn_XMC_LIG	1ksn_FXV_LIG	1mq5_XLC_LIG	1mq6_XLD_LIG	1nfu_RRP_LIG	1nfw_RRR_LIG	1nfx_RDR_LIG	1nfy_RTR_LIG	1v3x_D76_LIG	1wu1_D91_LIG	1xka_4PP_LIG	1z6e_IK8_LIG	2bok_784_LIG	2cji_GSK_LIG	2d1j_D01_LIG	2ei6_D92_LIG	2ei7_D93_LIG	2ei8_DT8_LIG	2fzz_5QC_LIG	2g00_4QC_LIG	2h9e_DTY_LIG	2j2u_GSQ_LIG	2j34_GS6_LIG	2j38_GS5_LIG	2j94_G15_LIG	2j95_GSX_LIG	2jkh_BI7_LIG	2p16_GG2_LIG	2p93_ME1_LIG	2p94_ME4_LIG	2p95_ME5_LIG	2phb_230_LIG	2pr3_237_LIG	2q1j_FXI_LIG	2ra0_JNJ_LIG	2uwl_895_LIG	2uwo_701_LIG	2uwp_894_LIG	2vh0_GSI_LIG	2vvc_LZF_LIG	2vvu_H22_LIG	2vwl_LZH_LIG	2vwm_LZI_LIG	2vwn_H25_LIG	2vwo_LZG_LIG	2w26_RIV_LIG	2w3i_L1C_LIG	2w3k_L1D_LIG	2wyg_461_LIG	2wyj_898_LIG	2xbv_XBV_LIG	2xbw_455_LIG	2xbx_RR8_LIG	2xby_63C_LIG	2xc0_8NC_LIG	2xc4_IVK_LIG	2xc5_OYJ_LIG	2y5f_XWG_LIG	2y5g_FJD_LIG	2y5h_Y5H_LIG	2y7x_MZA_LIG	2y7z_C0Z_LIG	2y80_439_LIG	2y81_931_LIG	2y82_930_LIG	3cen_FXA_LIG	3cs7_LG0_LIG	3ffg_FFG_LIG	3iit_D14_LIG	3kl6_443_LIG	3kqb_LGJ_LIG	3kqc_LGK_LIG	3kqd_LGL_LIG	3kqe_LGM_LIG	3liw_RUP_LIG	3m36_M35_LIG	3m37_M37_LIG	3q3k_D90_LIG	3tk5_D1Q_LIG	3tk6_D46_LIG	4y6d_48U_LIG	4y71_48W_LIG	4y76_4O1_LIG	4y79_4O6_LIG	4y7a_987_LIG	4y7b_44I_LIG	4zh8_4O4_LIG	4zha_4O5_LIG	5k0h_6PK_LIG	5vof_RIV_LIG
complex_1	-10.9328	-9.38977	-8.65848	-9.82071	-8.74339	-10.68198	-8.87146	-9.32653	-8.97685	-8.63172	-8.78569	-9.64482	-8.82527	-9.08696	-8.962	-8.79847	-9.48481	-10.62323	-7.60902	-8.16127	-9.09913	-8.6637	-9.55901	-9.46503	-8.67023	-11.35793	-6.55167	-8.40944	-7.68969	-9.25483	-9.87387	-9.35498	-9.53876	-9.49879	-11.40152	-10.84277	-5.33164	-8.05872	-8.53225	-8.00077	-7.56039	-8.25385	-6.93515	-8.82859	-9.88458	-9.14125	-7.93451	-8.60698	-10.60665	-9.34501	-9.34067	-7.2165	-7.73076	-7.18341	-7.4705	-10.3859	-10.18015	-9.90281	-9.76846	-10.74119	-10.66364	-8.96572	-8.8801	-11.67045	-8.71192	-7.39705	-7.96115	-8.57918	-10.53309	-10.09065	-8.34879	-8.25836	-8.62952	-7.58899	-6.76659	-5.38567	-8.41844	-8.71794	-7.9373	-9.50116	-7.79578	-10.09359	-8.8688	-12.52488	-9.66174	-9.99977	-11.50112	-12.24247	-11.88345	-12.15152	-8.10885	-9.69954	-10.30803	-9.44797	-7.94703	-7.11408	-8.5947	-8.84111	-7.71625	-7.18571	-9.63465	-7.83928	-8.77958	-8.30276	-9.01267	-6.2103
step1_200.xyz_1	-10.76723	-8.89002	-8.42887	-9.22354	-9.08387	-10.44341	-9.88833	-8.97793	-9.27278	-9.11675	-9.17819	-9.3822	-8.59192	-9.61936	-8.9367	-8.56764	-9.62164	-10.74601	-7.4889	-7.94689	-9.15253	-8.39673	-9.49226	-9.63791	-8.54435	-10.57986	-6.59929	-8.48225	-7.60641	-9.62965	-9.19221	-9.22339	-9.12686	-9.19253	-11.48406	-11.0042	-5.72131	-8.07812	-7.95098	-7.08335	-7.21596	-8.12995	-7.26058	-9.02052	-8.77395	-8.6719	-7.63571	-8.8459	-10.57221	-9.78333	-9.582	-7.01227	-7.57441	-7.00941	-7.1671	-10.10303	-9.84843	-9.24989	-9.47497	-10.45098	-10.30193	-8.33008	-9.3899	-11.17627	-8.37332	-6.99914	-7.6477	-8.20491	-10.37199	-10.08916	-8.10136	-8.11938	-8.47539	-7.26803	-6.64606	-4.89572	-7.87896	-8.5508	-7.74744	-9.10267	-7.70089	-9.91059	-8.58637	-12.48188	-9.68612	-10.02889	-11.50234	-12.3587	-11.6903	-12.28032	-7.93554	-9.97742	-10.59166	-9.2253	-7.50234	-6.91172	-7.79855	-8.32443	-7.9572	-7.38815	-9.69276	-7.93682	-9.22859	-8.17491	-9.02912	-5.49629
step2_200_2000_5.0_16930.xyz_1	-9.3186	-4.97172	-7.9049	64.51297	-5.40202	-6.75363	-10.42722	-6.19537	-4.65253	-5.69341	-3.76275	-8.3028	-5.35624	-10.11052	55.90712	-6.15034	-4.83114	-5.03562	-7.90926	-7.78479	112.71567	-9.35749	-9.15749	-7.99358	23.97167	-10.40906	-5.34302	-6.8322	-3.39331	-5.15055	-7.06593	-8.87432	-8.84166	-5.98246	85.79758	-6.00895	-4.02484	-3.23302	-3.40687	-5.21228	-4.8498	-5.09231	-3.64974	-4.25414	-5.85552	-9.39707	-8.23855	-6.03756	-6.8224	-8.00664	-6.86336	-4.76895	-4.99521	-5.00559	-5.93901	-7.2957	-7.07235	-7.1942	-6.07088	-6.23181	-6.13075	-6.01723	-8.11624	-9.9065	-6.86545	-5.08591	-5.57516	-6.26446	-8.47122	-6.09795	-6.20565	-5.67117	-5.97753	-6.19116	-4.22476	-3.85666	-7.84473	-7.75893	-4.2375	10.68534	-8.05293	-9.35531	-5.09642	100.1939	-8.76222	-5.65475	-7.83579	-8.36067	-7.86055	-7.65854	-6.79951	-7.23204	-6.13733	15.09306	-5.18899	-4.6416	-6.72409	18.49196	-7.50705	-5.26724	-6.9904	-4.30279	-5.96185	86.47218	-7.00882	-5.38026
step2_200_2000_5.0_2177.xyz_1	-9.35382	43.74695	-4.81352	-7.56898	-5.36028	-9.16419	-9.2648	-3.48249	-8.94629	82.09896	-7.87233	-8.02112	-7.23791	-6.11793	-8.31088	-7.04794	-7.3301	111.91855	-6.99436	-9.383	-7.10561	-4.19	-6.96677	-7.59943	-7.69832	-7.27203	-4.04732	-6.21092	-4.77491	-2.45598	-10.34571	-7.22418	-7.44032	-7.73359	152.39984	-6.52356	-2.79117	-3.58433	-4.83003	-5.38297	-6.71777	-6.7033	-5.49029	-6.69398	-7.76145	-8.67093	-6.67636	-9.24513	-9.1847	-8.20178	-5.86019	-5.82519	-6.15894	-7.1104	-6.41815	-3.61018	-9.24318	-2.74172	-8.57315	-9.56072	-10.02656	-7.19447	-7.44915	-8.42433	-6.00958	0.43008	-6.69636	-7.93255	-6.82645	-8.69788	-6.17735	-7.61714	-7.65708	-6.30188	-5.30552	-3.65922	-6.07191	-7.39422	-6.09978	-5.40293	-1.51416	-7.22267	-8.53752	-12.30577	-8.45835	-6.18982	-11.01597	-8.67569	-9.22925	-8.03229	-5.05111	-5.86958	-7.4174	-7.72936	-5.96629	-7.01589	-8.44822	-8.32822	-5.75047	-7.07679	-9.37485	-4.067	-6.62502	-8.52227	-7.90707	-1.54446
step2_200_2000_5.0_27766.xyz_1	-9.36577	-7.4357	-5.77612	-6.38417	-7.9752	-4.75422	-9.82665	-6.55886	-5.13907	-7.01501	-9.22247	-8.13925	-4.38036	32.36604	-7.38454	-8.63575	-8.501	-7.31637	-2.98189	-8.8085	-7.61613	84.82668	-5.96184	-9.29114	-6.46404	33.75347	-5.53414	-8.70101	-4.77084	-5.78151	-8.31119	40.56637	51.77278	-7.03302	-9.61197	-9.7597	-3.84178	-4.43276	-7.54241	-6.45794	-4.81427	-6.27975	31.65964	-8.133	-7.42292	79.25648	-5.53506	-7.08882	-6.6875	-7.1122	-8.21659	-5.08484	-4.98724	-3.25886	-5.52079	-7.93907	-7.80813	-8.84645	-6.88003	-0.8947	-7.194	-6.8098	-6.34934	-6.93969	-6.8413	-7.80756	-4.43376	-7.66316	-5.26531	-9.51976	-6.40051	33.70488	-5.37875	70.69146	-4.29754	-2.70111	-9.56125	-5.75886	-5.8614	-7.55701	25.47821	-6.88948	-6.86469	-8.4312	-5.69298	61.12295	-4.70144	-11.28764	-10.90431	-11.02195	-4.36276	-8.0007	-6.58056	-5.20796	-5.41602	-4.98998	-4.45792	-6.14662	-7.02868	-3.94551	-7.1465	-4.00556	-5.65196	-6.47376	-5.04834	-4.52213
step2_200_2000_5.0_28005.xyz_1	-9.04565	-7.93397	-5.78448	-7.5829	-8.72941	-5.52349	-6.76805	-8.79657	-5.72632	-7.91402	-8.62135	-7.25427	-7.60176	-6.73152	-6.75257	-6.62777	-10.03105	-7.75961	-5.84456	-8.02945	-6.42021	-7.34955	-10.47145	-8.55014	-6.49708	-8.22231	-4.62351	-7.43802	2.47486	-6.79666	-9.09285	-9.89087	-9.00838	-6.51419	-9.28352	-10.49755	-4.69338	-4.96198	-6.13418	-6.41029	1.71733	-6.32161	66.95683	-7.31763	-6.35323	-9.01678	-6.47649	-4.73578	-8.44664	-7.4768	-11.42909	-3.53782	-6.49465	-5.28936	-5.26949	-7.88187	-7.65892	-7.0491	-9.43288	-7.28371	-7.15393	-6.37366	-8.90472	-9.82156	-7.15099	-7.41546	-5.43434	-4.59654	-7.40466	-7.40547	-5.71585	-5.04793	-4.88339	-4.89959	-6.0553	-4.27065	-8.02313	-8.22651	-5.54419	-6.044	-3.4408	-9.38049	-7.47481	-11.50463	-8.36929	-8.30575	-8.91929	-11.55601	-10.72701	-11.43733	-7.39894	-7.45538	-9.27854	-7.75471	0.82248	-6.04225	-5.33696	-7.47321	-6.06684	-5.87587	-6.85432	-4.13863	-6.64743	-6.3339	-8.8993	-7.24271
step2_200_2000_5.0_4094.xyz_1	-8.04353	-7.64503	-7.02347	-6.85915	-7.63415	-7.24994	-7.4307	-3.25315	-8.90761	-6.9049	-6.53931	-8.27902	-5.5277	-4.75276	-7.59735	-8.98687	-8.05875	-6.39362	-5.577	-7.3689	-7.04961	-8.00263	-7.58466	-9.14191	-6.76669	-9.56397	-7.45103	-7.74205	-4.85189	-6.9108	-5.42099	-6.14308	-7.69222	-7.60445	-9.43412	-9.22816	-2.8397	-5.43681	-5.28061	-5.42366	-6.9227	-6.83834	-4.27303	-6.17844	-5.15378	-5.06368	-5.38345	-9.48718	-10.96425	-6.12835	-9.66651	-6.97602	-5.67601	-4.24415	-6.60109	-2.62902	-5.16358	-1.80217	-6.78853	-6.95155	-2.84856	-5.93525	-9.57748	-8.10383	-5.78145	-6.82758	-5.59958	-5.33139	-7.96493	-6.7875	-6.6878	-5.86148	-7.87555	-4.61108	-3.69138	-3.20353	-7.44107	1.40923	-4.71392	-9.15603	-6.03505	-6.78754	-7.36854	-8.56795	-7.95823	-6.65171	-11.48166	-10.99311	-10.33989	-8.07475	-4.98371	-5.70428	-4.93176	-5.02939	-3.71334	-2.96867	-6.44878	-6.34376	-6.01607	-5.31225	-9.28431	-8.58726	-6.85123	-6.10057	-5.94714	-5.29803
step2_200_2000_5.0_47873.xyz_1	-5.9119	-5.82015	-5.34011	-6.01528	39.95253	-5.89224	-8.70863	-5.32531	-7.19	-6.55679	-5.82412	-7.9382	-7.33955	8.31002	-8.23623	-7.19316	-9.97189	-8.98064	-5.562	-7.22095	-9.12396	-4.47359	-6.6778	-9.24886	-8.08053	-7.33058	-5.70893	-0.63395	-2.7615	-7.27345	-6.82448	-7.72666	-2.16199	-6.31222	-8.02442	-6.67444	-3.87718	-4.197	-6.64757	-5.85605	-5.18566	-5.74917	-4.55863	-7.84506	-4.01066	-6.61863	-6.37558	-6.83647	-4.7075	-7.14924	93.67331	-4.94262	-5.02253	-5.13147	-3.02408	-6.55	-6.95971	-5.5118	-8.36674	-8.71774	-6.66221	-7.13561	-4.26029	-8.51156	-4.71393	-3.14178	-5.99024	-6.55527	-1.71592	-5.72826	-1.19499	-5.95984	-6.38509	-3.81604	-3.03332	-2.16557	-7.10697	-7.14036	-6.57779	-4.56163	-4.00367	-9.97641	-7.9435	-6.84729	-7.61082	-5.3385	-6.71244	-5.02094	-8.33638	-4.92944	-5.13346	-6.56897	-7.62291	-6.90371	-5.56185	-4.6701	-6.8412	-4.87631	-4.94403	-4.98977	-6.47766	-4.79807	-6.06384	-5.19157	-1.7311	-6.23843
step2_200_2000_5.0_77285.xyz_1	-8.34993	-6.3158	-6.52932	-5.76733	-5.64355	-9.70426	-7.05427	-5.34989	-5.91572	-7.36846	-8.26858	-9.65854	-8.15265	-7.79687	-7.83441	-8.91991	-8.89375	-7.35956	-5.79764	-6.41859	-9.02838	-7.47374	-9.48292	62.29484	-9.29	-10.01297	-2.25342	-4.90186	-6.2476	-8.35677	-8.0131	-8.35227	-7.77582	-8.41919	-8.20537	-7.19899	-4.29677	-5.00985	-7.90061	-7.08888	-6.13145	-6.18302	-4.88071	-6.3582	-7.34734	-6.22121	-5.27895	-9.1494	21.67655	-5.74675	-9.72199	-5.12769	-5.28757	-5.8876	-5.49542	-6.50099	-8.75863	-6.13623	112.9786	-7.68953	-8.86438	-6.42564	-6.507	-8.56891	-7.95743	-6.65358	-6.18831	-5.64	-9.39399	-9.38599	-6.15906	-9.27246	-7.21409	-5.03036	-3.25928	-3.29148	-6.44505	-7.05364	-5.82602	-10.53952	-6.26521	-8.02066	-8.80824	-11.0082	-7.89795	-7.48747	-10.28883	-9.22717	-9.37994	-9.12804	-5.89342	-8.3697	-9.07868	-6.97656	-5.99901	-6.90612	-8.27607	-7.27238	-5.72134	-6.00653	-9.42553	-6.06074	-7.02329	-7.46878	-5.89454	-5.4693
step2_200_2000_5.0_85412.xyz_1	-9.39196	-5.92882	51.21956	66.11861	-7.95576	-8.94026	-8.88615	-7.3621	-6.76476	-8.51995	-8.99351	-6.02057	-2.67205	-8.69168	-5.23359	-4.0841	-8.39133	-7.18524	-7.35784	92.20625	-5.06794	-5.99292	-10.03328	-5.46313	-7.16	-6.45096	-2.47414	-4.99942	-6.66722	-6.53732	-8.31672	-8.97038	-8.72238	-6.64683	-9.42482	-9.32707	-4.25712	-5.38897	-8.10681	-5.99075	-5.7013	-6.49742	-5.69092	-9.65917	-6.53837	-8.08179	-6.70872	-9.17463	-8.45869	-7.21093	-9.93943	-6.26192	-5.89902	-6.16111	-4.82083	88.05489	-4.45285	-7.65179	38.15897	-9.73504	-4.28673	-4.61013	-9.49805	-10.95504	-6.39645	-7.52872	-7.18199	-8.20473	73.49806	-7.72096	-4.45787	-7.81462	-6.34822	-6.41229	-6.32523	-3.85678	-8.85519	-8.70799	-5.4537	36.3294	-3.69086	-9.38353	-7.82221	-9.92903	-8.8924	-8.88327	-12.13395	-11.16831	-8.89357	-9.5819	-5.49301	-8.7773	-8.37663	-7.91148	-6.11416	-3.97254	-9.02698	-7.87669	-4.14914	-4.60967	-7.94677	-7.73917	41.35453	-6.07356	-7.39965	-4.75135
