,POCKET_RMSD,LIGAND_RMSD
complex_0,0.3257928788661957,3.2572
step1_200.xyz_0,0.3257928788661957,3.25084
step2_200_2000_5.0_16930.xyz_0,1.912902355194092,3.34599
step2_200_2000_5.0_2177.xyz_0,1.599661350250244,2.58734
step2_200_2000_5.0_27766.xyz_0,2.131181001663208,3.98474
step2_200_2000_5.0_28005.xyz_0,1.2101444005966189,1.13529
step2_200_2000_5.0_4094.xyz_0,1.7060997486114502,3.66327
step2_200_2000_5.0_47873.xyz_0,1.6806786060333252,3.31624
step2_200_2000_5.0_77285.xyz_0,1.773182392120361,3.67266
step2_200_2000_5.0_85412.xyz_0,1.8306806087493896,4.37346
step2_200_2000_5.0_86398.xyz_0,1.672627329826355,3.47231
step2_200_2000_5.0_86498.xyz_0,2.031400680541992,5.32785
