,POCKET_RMSD,LIGAND_RMSD
complex.gro,0.3257928788661957,1.8083
step1_200.xyz.gro,0.3257928788661957,1.90439
step2_200_2000_5.0_16930.xyz.gro,1.84303617477417,2.84252
step2_200_2000_5.0_2177.xyz.gro,1.5636945962905884,1.8015
step2_200_2000_5.0_27766.xyz.gro,2.0814599990844727,7.26157
step2_200_2000_5.0_28005.xyz.gro,1.1695096492767334,2.38261
step2_200_2000_5.0_4094.xyz.gro,1.741098165512085,4.0151
step2_200_2000_5.0_47873.xyz.gro,1.8068963289260864,4.20643
step2_200_2000_5.0_77285.xyz.gro,1.8882752656936646,3.76863
step2_200_2000_5.0_85412.xyz.gro,1.744925856590271,1.82169
step2_200_2000_5.0_86398.xyz.gro,1.3916393518447876,3.17697
step2_200_2000_5.0_86498.xyz.gro,1.8316657543182373,3.03013
