,POCKET_RMSD,LIGAND_RMSD
complex_1,0.3257928788661957,1.8083
step1_200.xyz_1,0.3257928788661957,1.90439
step2_200_2000_5.0_16930.xyz_1,1.84303617477417,2.84252
step2_200_2000_5.0_2177.xyz_1,1.5636945962905884,1.8015
step2_200_2000_5.0_27766.xyz_1,2.0814599990844727,7.26157
step2_200_2000_5.0_28005.xyz_1,1.1695096492767334,2.38261
step2_200_2000_5.0_4094.xyz_1,1.741098165512085,4.0151
step2_200_2000_5.0_47873.xyz_1,1.8068963289260864,4.20643
step2_200_2000_5.0_77285.xyz_1,1.8882752656936648,3.76863
step2_200_2000_5.0_85412.xyz_1,1.744925856590271,1.82169
step2_200_2000_5.0_86398.xyz_1,1.3916393518447876,3.17697
step2_200_2000_5.0_86498.xyz_1,1.8316657543182373,3.03013
complex_2,0.3257928788661957,3.2572
step1_200.xyz_2,0.3257928788661957,3.25084
step2_200_2000_5.0_16930.xyz_2,1.912902355194092,3.34599
step2_200_2000_5.0_2177.xyz_2,1.599661350250244,2.58734
step2_200_2000_5.0_27766.xyz_2,2.131181001663208,3.98474
step2_200_2000_5.0_28005.xyz_2,1.2101444005966189,1.13529
step2_200_2000_5.0_4094.xyz_2,1.7060997486114502,3.66327
step2_200_2000_5.0_47873.xyz_2,1.6806786060333252,3.31624
step2_200_2000_5.0_77285.xyz_2,1.773182392120361,3.67266
step2_200_2000_5.0_85412.xyz_2,1.8306806087493896,4.37346
step2_200_2000_5.0_86398.xyz_2,1.672627329826355,3.47231
step2_200_2000_5.0_86498.xyz_2,2.031400680541992,5.32785
