,ENERGY
step2_200_2000_5.0_16930.xyz_1,114940.796875
step2_200_2000_5.0_2177.xyz_1,11864.3291015625
step2_200_2000_5.0_27766.xyz_1,7526.3349609375
step2_200_2000_5.0_28005.xyz_1,3604.8828125
step2_200_2000_5.0_4094.xyz_1,7200.55419921875
step2_200_2000_5.0_47873.xyz_1,4039.0439453125
step2_200_2000_5.0_77285.xyz_1,11378.1953125
step2_200_2000_5.0_85412.xyz_1,20431.53125
step2_200_2000_5.0_86398.xyz_1,8413.603515625
step2_200_2000_5.0_86498.xyz_1,35338.90234375
step2_200_2000_5.0_16930.xyz_2,114948.6875
step2_200_2000_5.0_2177.xyz_2,13236.310546875
step2_200_2000_5.0_27766.xyz_2,7536.65234375
step2_200_2000_5.0_28005.xyz_2,3549.12841796875
step2_200_2000_5.0_4094.xyz_2,7318.2919921875
step2_200_2000_5.0_47873.xyz_2,3983.888671875
step2_200_2000_5.0_77285.xyz_2,11400.765625
step2_200_2000_5.0_85412.xyz_2,20538.9921875
step2_200_2000_5.0_86398.xyz_2,8358.162109375
step2_200_2000_5.0_86498.xyz_2,35034.23828125
