,cocry_2d1j_D01_LIG
complex_1,-9.87437
step1_200.xyz_1,-9.19368
step2_200_2000_5.0_16930.xyz_1,-7.0622
step2_200_2000_5.0_2177.xyz_1,-10.34712
step2_200_2000_5.0_27766.xyz_1,-8.31056
step2_200_2000_5.0_28005.xyz_1,-9.09222
step2_200_2000_5.0_4094.xyz_1,-5.42183
step2_200_2000_5.0_47873.xyz_1,-6.82368
step2_200_2000_5.0_77285.xyz_1,-8.01328
step2_200_2000_5.0_85412.xyz_1,-8.31529
step2_200_2000_5.0_86398.xyz_1,-6.30594
step2_200_2000_5.0_86498.xyz_1,-6.73112
complex_2,-8.71784
step1_200.xyz_2,-8.11763
step2_200_2000_5.0_16930.xyz_2,-8.24758
step2_200_2000_5.0_2177.xyz_2,-9.87542
step2_200_2000_5.0_27766.xyz_2,-5.4396
step2_200_2000_5.0_28005.xyz_2,-10.89756
step2_200_2000_5.0_4094.xyz_2,-6.53669
step2_200_2000_5.0_47873.xyz_2,-7.24142
step2_200_2000_5.0_77285.xyz_2,-6.839
step2_200_2000_5.0_85412.xyz_2,-6.73685
step2_200_2000_5.0_86398.xyz_2,-8.22486
step2_200_2000_5.0_86498.xyz_2,-6.51122
