,POCKET_RMSD,LIGAND_RMSD
complex_1,1.7018178701400757,6.36954
step1_200.xyz_1,1.7018178701400757,6.39871
step2_200_2000_5.0_16930.xyz_1,1.495530128479004,6.5589
step2_200_2000_5.0_2177.xyz_1,1.5748814344406128,6.42864
step2_200_2000_5.0_27766.xyz_1,2.071324348449707,6.33356
step2_200_2000_5.0_28005.xyz_1,1.6271119117736816,6.52981
step2_200_2000_5.0_4094.xyz_1,2.015591621398926,6.73973
step2_200_2000_5.0_47873.xyz_1,1.7005228996276855,7.27274
step2_200_2000_5.0_77285.xyz_1,1.6536014080047607,6.5719
step2_200_2000_5.0_85412.xyz_1,1.6863867044448853,6.37199
step2_200_2000_5.0_86398.xyz_1,1.921070098876953,6.84534
step2_200_2000_5.0_86498.xyz_1,1.9985193014144895,6.24525
complex_2,1.7018178701400757,7.61179
step1_200.xyz_2,1.7018178701400757,7.58416
step2_200_2000_5.0_16930.xyz_2,1.7140265703201294,8.23086
step2_200_2000_5.0_2177.xyz_2,1.603838562965393,7.79921
step2_200_2000_5.0_27766.xyz_2,1.9197429418563845,7.93133
step2_200_2000_5.0_28005.xyz_2,1.761290431022644,8.10743
step2_200_2000_5.0_4094.xyz_2,2.1548852920532227,7.90737
step2_200_2000_5.0_47873.xyz_2,2.2784264087677,8.52788
step2_200_2000_5.0_77285.xyz_2,1.618186593055725,7.69044
step2_200_2000_5.0_85412.xyz_2,1.5733556747436523,8.17426
step2_200_2000_5.0_86398.xyz_2,1.7024978399276731,7.56172
step2_200_2000_5.0_86498.xyz_2,1.834989070892334,7.68997
complex_3,1.7018178701400757,2.21665
step1_200.xyz_3,1.7018178701400757,2.29579
step2_200_2000_5.0_16930.xyz_3,1.7940022945404053,1.15089
step2_200_2000_5.0_2177.xyz_3,1.6454973220825195,2.7973
step2_200_2000_5.0_27766.xyz_3,1.7298370599746704,2.19695
step2_200_2000_5.0_28005.xyz_3,1.732450008392334,2.46098
step2_200_2000_5.0_4094.xyz_3,1.9467424154281616,2.74501
step2_200_2000_5.0_47873.xyz_3,1.7403627634048462,3.49375
step2_200_2000_5.0_77285.xyz_3,1.6673718690872192,2.20412
step2_200_2000_5.0_85412.xyz_3,1.6020169258117676,3.24067
step2_200_2000_5.0_86398.xyz_3,1.7049334049224854,2.14974
step2_200_2000_5.0_86498.xyz_3,2.017706632614136,2.53089
