,ENERGY
step2_200_2000_5.0_16930.xyz_1,1031.87841796875
step2_200_2000_5.0_2177.xyz_1,872.87646484375
step2_200_2000_5.0_27766.xyz_1,30536.462890625
step2_200_2000_5.0_28005.xyz_1,1832.580078125
step2_200_2000_5.0_4094.xyz_1,5393.53076171875
step2_200_2000_5.0_47873.xyz_1,772.7099609375
step2_200_2000_5.0_77285.xyz_1,782.041015625
step2_200_2000_5.0_85412.xyz_1,5693.7529296875
step2_200_2000_5.0_86398.xyz_1,540.14306640625
step2_200_2000_5.0_86498.xyz_1,5089.35400390625
step2_200_2000_5.0_16930.xyz_2,1066.21240234375
step2_200_2000_5.0_2177.xyz_2,885.04736328125
step2_200_2000_5.0_27766.xyz_2,30387.609375
step2_200_2000_5.0_28005.xyz_2,1840.94873046875
step2_200_2000_5.0_4094.xyz_2,5398.62890625
step2_200_2000_5.0_47873.xyz_2,768.3466796875
step2_200_2000_5.0_77285.xyz_2,3975.4140625
step2_200_2000_5.0_85412.xyz_2,5616.7685546875
step2_200_2000_5.0_86398.xyz_2,636.54150390625
step2_200_2000_5.0_86498.xyz_2,5064.0888671875
step2_200_2000_5.0_16930.xyz_3,966.87451171875
step2_200_2000_5.0_2177.xyz_3,876.87744140625
step2_200_2000_5.0_27766.xyz_3,30712.984375
step2_200_2000_5.0_28005.xyz_3,1917.8291015625
step2_200_2000_5.0_4094.xyz_3,5409.78564453125
step2_200_2000_5.0_47873.xyz_3,712.48974609375
step2_200_2000_5.0_77285.xyz_3,1087.28076171875
step2_200_2000_5.0_85412.xyz_3,5688.7724609375
step2_200_2000_5.0_86398.xyz_3,816.05322265625
step2_200_2000_5.0_86498.xyz_3,5091.70654296875
