,,LR,GBT,DClf
nef_Ra,0,0.74545,0.83636,0.12727
nef_Ra,1,0.68182,0.7,0.10909
nef_Ra,2,0.74775,0.8018,0.09009
nef_Ra,3,0.67568,0.72072,0.13514
nef_Ra,4,0.72727,0.77273,0.12727
nef_Ra,5,0.7,0.77273,0.10909
nef_Ra,6,0.64865,0.75676,0.13514
nef_Ra,7,0.72072,0.79279,0.10811
nef_Ra,8,0.69091,0.75455,0.1
nef_Ra,9,0.73636,0.78182,0.1
nef_Ra,10,0.68468,0.77477,0.13514
nef_Ra,11,0.72973,0.79279,0.13514
nef_Ra,12,0.66364,0.73636,0.07273
nef_Ra,13,0.70909,0.76364,0.09091
nef_Ra,14,0.75676,0.79279,0.0991
nef_Ra,15,0.72072,0.76577,0.12613
nef_Ra,16,0.70909,0.8,0.09091
nef_Ra,17,0.71818,0.79091,0.16364
nef_Ra,18,0.75676,0.81081,0.11712
nef_Ra,19,0.68468,0.74775,0.13514
nef_Ra,20,0.77273,0.8,0.15455
nef_Ra,21,0.7,0.77273,0.10909
nef_Ra,22,0.68468,0.77477,0.11712
nef_Ra,23,0.65766,0.76577,0.15315
nef_Ra,24,0.72727,0.79091,0.10909
nef_Ra,25,0.69091,0.74545,0.11818
nef_Ra,26,0.67568,0.74775,0.10811
nef_Ra,27,0.72072,0.77477,0.11712
nef_Ra,28,0.71818,0.77273,0.11818
nef_Ra,29,0.76364,0.80909,0.11818
nef_Ra,30,0.69369,0.78378,0.14414
nef_Ra,31,0.66667,0.7027,0.09009
nef_Ra,32,0.73636,0.81818,0.16364
nef_Ra,33,0.73636,0.78182,0.10909
nef_Ra,34,0.66667,0.73874,0.10811
nef_Ra,35,0.68468,0.75676,0.10811
nef_Ra,36,0.75455,0.8,0.06364
nef_Ra,37,0.68182,0.75455,0.15455
nef_Ra,38,0.67568,0.76577,0.12613
nef_Ra,39,0.7027,0.74775,0.0991
nef_Ra,40,0.68182,0.75455,0.12727
nef_Ra,41,0.75455,0.82727,0.12727
nef_Ra,42,0.66667,0.75676,0.06306
