,,LR,GBT,DClf
nef_Ra,0,0.35455,0.45455,0.10909
nef_Ra,1,0.37838,0.5045,0.07207
nef_Ra,2,0.3964,0.40541,0.18018
nef_Ra,3,0.39091,0.46364,0.15455
nef_Ra,4,0.38182,0.51818,0.06364
nef_Ra,5,0.40541,0.4955,0.13514
nef_Ra,6,0.42342,0.53153,0.08108
nef_Ra,7,0.29091,0.40909,0.16364
nef_Ra,8,0.42727,0.51818,0.14545
nef_Ra,9,0.41441,0.45045,0.11712
nef_Ra,10,0.3964,0.54054,0.11712
nef_Ra,11,0.30909,0.41818,0.10909
nef_Ra,12,0.39091,0.45455,0.13636
nef_Ra,13,0.41441,0.48649,0.10811
nef_Ra,14,0.36937,0.45946,0.11712
nef_Ra,15,0.35455,0.42727,0.1
nef_Ra,16,0.41818,0.49091,0.09091
nef_Ra,17,0.40541,0.45045,0.11712
nef_Ra,18,0.34234,0.44144,0.18919
nef_Ra,19,0.4,0.48182,0.14545
nef_Ra,20,0.36364,0.47273,0.07273
nef_Ra,21,0.3964,0.45045,0.11712
nef_Ra,22,0.38739,0.45946,0.10811
nef_Ra,23,0.40909,0.46364,0.09091
nef_Ra,24,0.4,0.5,0.16364
nef_Ra,25,0.37838,0.3964,0.08108
nef_Ra,26,0.3964,0.47748,0.11712
nef_Ra,27,0.34545,0.5,0.13636
nef_Ra,28,0.40909,0.49091,0.09091
nef_Ra,29,0.37838,0.41441,0.11712
nef_Ra,30,0.43243,0.51351,0.12613
nef_Ra,31,0.34545,0.45455,0.10909
nef_Ra,32,0.37273,0.46364,0.1
nef_Ra,33,0.43243,0.53153,0.16216
nef_Ra,34,0.34234,0.45045,0.09009
nef_Ra,35,0.37273,0.49091,0.08182
nef_Ra,36,0.33636,0.44545,0.09091
nef_Ra,37,0.38739,0.45946,0.07207
nef_Ra,38,0.32432,0.42342,0.12613
nef_Ra,39,0.4,0.44545,0.08182
nef_Ra,40,0.4,0.45455,0.08182
nef_Ra,41,0.34234,0.4955,0.15315
nef_Ra,42,0.36036,0.42342,0.13514
nef_Ra,43,0.4,0.46364,0.10909
nef_Ra,44,0.34545,0.40909,0.06364
nef_Ra,45,0.37838,0.47748,0.12613
nef_Ra,46,0.35135,0.3964,0.14414
nef_Ra,47,0.45455,0.54545,0.11818
nef_Ra,48,0.36364,0.47273,0.14545
nef_Ra,49,0.41441,0.43243,0.10811
nef_Ra,50,0.38739,0.45045,0.11712
nef_Ra,51,0.43636,0.49091,0.09091
nef_Ra,52,0.41818,0.56364,0.11818
nef_Ra,53,0.35135,0.43243,0.10811
nef_Ra,54,0.34234,0.4955,0.12613
nef_Ra,55,0.37273,0.48182,0.09091
nef_Ra,56,0.41818,0.46364,0.10909
nef_Ra,57,0.3964,0.46847,0.17117
nef_Ra,58,0.35135,0.45045,0.15315
nef_Ra,59,0.38182,0.51818,0.15455
nef_Ra,60,0.39091,0.47273,0.1
nef_Ra,61,0.40541,0.52252,0.14414
nef_Ra,62,0.37838,0.46847,0.0991
nef_Ra,63,0.41818,0.49091,0.06364
nef_Ra,64,0.38182,0.44545,0.1
nef_Ra,65,0.43243,0.54955,0.13514
nef_Ra,66,0.3964,0.51351,0.16216
nef_Ra,67,0.34545,0.4,0.11818
nef_Ra,68,0.36364,0.45455,0.14545
nef_Ra,69,0.40541,0.45045,0.13514
nef_Ra,70,0.38739,0.46847,0.14414
nef_Ra,71,0.33636,0.48182,0.1
nef_Ra,72,0.40909,0.45455,0.11818
nef_Ra,73,0.44144,0.47748,0.10811
nef_Ra,74,0.36036,0.47748,0.09009
nef_Ra,75,0.37273,0.46364,0.1
nef_Ra,76,0.36364,0.45455,0.1
nef_Ra,77,0.42342,0.5045,0.07207
nef_Ra,78,0.41441,0.51351,0.0991
nef_Ra,79,0.34545,0.37273,0.1
nef_Ra,80,0.39091,0.44545,0.1
nef_Ra,81,0.37838,0.45946,0.12613
nef_Ra,82,0.36937,0.52252,0.16216
nef_Ra,83,0.38182,0.42727,0.12727
nef_Ra,84,0.39091,0.40909,0.13636
nef_Ra,85,0.44144,0.45045,0.11712
nef_Ra,86,0.38739,0.5045,0.10811
nef_Ra,87,0.34545,0.44545,0.13636
