,,LR,GBT,DClf
nef_Ra,0,0.41333,0.50667,0.01333
nef_Ra,1,0.46667,0.53333,0.02667
nef_Ra,2,0.44,0.54667,0.05333
nef_Ra,3,0.38667,0.42667,0.01333
nef_Ra,4,0.45333,0.6,0.04
nef_Ra,5,0.44,0.50667,0.02667
nef_Ra,6,0.34667,0.49333,0.02667
nef_Ra,7,0.37333,0.41333,0.04
nef_Ra,8,0.34667,0.44,0.05333
nef_Ra,9,0.41333,0.53333,0.02667
nef_Ra,10,0.48,0.54667,0.02667
nef_Ra,11,0.45333,0.45333,0.06667
nef_Ra,12,0.45333,0.56,0.08
nef_Ra,13,0.45333,0.48,0.06667
nef_Ra,14,0.37333,0.48,0.08
nef_Ra,15,0.38667,0.46667,0.08
nef_Ra,16,0.36,0.48,0.04
nef_Ra,17,0.44,0.46667,0.02667
nef_Ra,18,0.46667,0.49333,0.06667
nef_Ra,19,0.41333,0.44,0.05333
nef_Ra,20,0.37333,0.48,0.09333
nef_Ra,21,0.45333,0.46667,0.01333
nef_Ra,22,0.4,0.49333,0.02667
nef_Ra,23,0.45333,0.49333,0.01333
nef_Ra,24,0.42667,0.44,0.06667
nef_Ra,25,0.45333,0.52,0.02667
nef_Ra,26,0.41333,0.50667,0.04
nef_Ra,27,0.38667,0.42667,0.02667
nef_Ra,28,0.33333,0.45333,0.02667
nef_Ra,29,0.45333,0.48,0.05333
nef_Ra,30,0.48,0.58667,0.06667
nef_Ra,31,0.42667,0.42667,0.08
nef_Ra,32,0.41333,0.45333,0.06667
nef_Ra,33,0.41333,0.52,0.05333
nef_Ra,34,0.42667,0.48,0.04
nef_Ra,35,0.38667,0.48,0.02667
nef_Ra,36,0.42667,0.46667,0.05333
nef_Ra,37,0.45333,0.52,0.05333
nef_Ra,38,0.4,0.49333,0.01333
nef_Ra,39,0.4,0.46667,0.06667
nef_Ra,40,0.4,0.52,0.05333
nef_Ra,41,0.4,0.48,0.06667
nef_Ra,42,0.4,0.45333,0.02667
nef_Ra,43,0.46667,0.52,0.01333
nef_Ra,44,0.41333,0.42667,0.01333
nef_Ra,45,0.44,0.46667,0.02667
nef_Ra,46,0.46667,0.54667,0.09333
nef_Ra,47,0.4,0.53333,0.05333
nef_Ra,48,0.37333,0.46667,0.01333
nef_Ra,49,0.41333,0.44,0.04
nef_Ra,50,0.46667,0.50667,0.0
nef_Ra,51,0.42667,0.52,0.04
nef_Ra,52,0.45333,0.44,0.04
nef_Ra,53,0.4,0.46667,0.04
nef_Ra,54,0.54667,0.61333,0.06667
nef_Ra,55,0.34667,0.4,0.06667
nef_Ra,56,0.42667,0.45333,0.02667
nef_Ra,57,0.38667,0.54667,0.02667
nef_Ra,58,0.4,0.37333,0.04
nef_Ra,59,0.50667,0.50667,0.02667
nef_Ra,60,0.44,0.50667,0.01333
nef_Ra,61,0.42667,0.53333,0.02667
nef_Ra,62,0.34667,0.49333,0.04
nef_Ra,63,0.41333,0.48,0.04
nef_Ra,64,0.4,0.54667,0.04
nef_Ra,65,0.37333,0.46667,0.02667
nef_Ra,66,0.42667,0.53333,0.0
nef_Ra,67,0.42667,0.48,0.04
nef_Ra,68,0.37333,0.45333,0.02667
nef_Ra,69,0.41333,0.48,0.02667
nef_Ra,70,0.42667,0.53333,0.04
nef_Ra,71,0.42667,0.52,0.05333
nef_Ra,72,0.44,0.53333,0.08
nef_Ra,73,0.44,0.52,0.04
nef_Ra,74,0.34667,0.38667,0.0
