,,LR,GBT,DClf
nef_Ra,0,0.38889,0.58333,0.01389
nef_Ra,1,0.44444,0.66667,0.01389
nef_Ra,2,0.39726,0.57534,0.0137
nef_Ra,3,0.31944,0.5,0.01389
nef_Ra,4,0.43056,0.52778,0.04167
nef_Ra,5,0.38889,0.55556,0.04167
nef_Ra,6,0.39726,0.65753,0.0137
nef_Ra,7,0.40278,0.59722,0.06944
nef_Ra,8,0.375,0.59722,0.01389
nef_Ra,9,0.38889,0.58333,0.02778
nef_Ra,10,0.32877,0.53425,0.0411
nef_Ra,11,0.41667,0.59722,0.04167
nef_Ra,12,0.375,0.51389,0.05556
nef_Ra,13,0.38889,0.55556,0.05556
nef_Ra,14,0.38356,0.58904,0.05479
nef_Ra,15,0.40278,0.61111,0.06944
nef_Ra,16,0.29167,0.5,0.01389
nef_Ra,17,0.47222,0.625,0.04167
nef_Ra,18,0.43836,0.60274,0.06849
nef_Ra,19,0.31944,0.58333,0.05556
nef_Ra,20,0.375,0.61111,0.04167
nef_Ra,21,0.375,0.58333,0.01389
nef_Ra,22,0.32877,0.57534,0.06849
nef_Ra,23,0.47222,0.63889,0.05556
nef_Ra,24,0.34722,0.54167,0.0
nef_Ra,25,0.40278,0.56944,0.02778
nef_Ra,26,0.41096,0.61644,0.05479
nef_Ra,27,0.40278,0.51389,0.01389
nef_Ra,28,0.41667,0.625,0.05556
nef_Ra,29,0.38889,0.52778,0.04167
nef_Ra,30,0.42466,0.65753,0.0274
nef_Ra,31,0.33333,0.55556,0.04167
nef_Ra,32,0.36111,0.61111,0.02778
nef_Ra,33,0.27778,0.55556,0.06944
nef_Ra,34,0.50685,0.64384,0.0274
nef_Ra,35,0.41667,0.58333,0.02778
nef_Ra,36,0.33333,0.52778,0.02778
nef_Ra,37,0.40278,0.61111,0.05556
nef_Ra,38,0.36986,0.58904,0.06849
nef_Ra,39,0.44444,0.59722,0.02778
nef_Ra,40,0.34722,0.52778,0.02778
nef_Ra,41,0.38889,0.55556,0.01389
nef_Ra,42,0.47945,0.65753,0.05479
nef_Ra,43,0.36111,0.59722,0.01389
nef_Ra,44,0.47222,0.625,0.01389
nef_Ra,45,0.38889,0.55556,0.02778
nef_Ra,46,0.35616,0.54795,0.05479
nef_Ra,47,0.375,0.59722,0.05556
nef_Ra,48,0.44444,0.66667,0.04167
nef_Ra,49,0.38889,0.56944,0.04167
nef_Ra,50,0.39726,0.60274,0.0274
nef_Ra,51,0.33333,0.61111,0.0
nef_Ra,52,0.44444,0.56944,0.04167
nef_Ra,53,0.34722,0.54167,0.02778
nef_Ra,54,0.31507,0.57534,0.05479
nef_Ra,55,0.41667,0.56944,0.01389
nef_Ra,56,0.38889,0.59722,0.04167
nef_Ra,57,0.41667,0.61111,0.05556
nef_Ra,58,0.35616,0.53425,0.0274
nef_Ra,59,0.31944,0.59722,0.02778
nef_Ra,60,0.41667,0.58333,0.02778
nef_Ra,61,0.31944,0.61111,0.08333
nef_Ra,62,0.41096,0.54795,0.0274
nef_Ra,63,0.38889,0.51389,0.04167
nef_Ra,64,0.43056,0.65278,0.05556
nef_Ra,65,0.36111,0.58333,0.01389
nef_Ra,66,0.36986,0.65753,0.06849
nef_Ra,67,0.36111,0.58333,0.05556
nef_Ra,68,0.43056,0.63889,0.02778
nef_Ra,69,0.375,0.54167,0.05556
nef_Ra,70,0.36986,0.57534,0.0411
nef_Ra,71,0.36111,0.58333,0.04167
nef_Ra,72,0.29167,0.48611,0.01389
nef_Ra,73,0.43056,0.65278,0.11111
nef_Ra,74,0.39726,0.57534,0.0411
nef_Ra,75,0.38889,0.56944,0.04167
nef_Ra,76,0.31944,0.54167,0.01389
nef_Ra,77,0.47222,0.625,0.02778
nef_Ra,78,0.41096,0.56164,0.0
nef_Ra,79,0.34722,0.58333,0.01389
nef_Ra,80,0.31944,0.5,0.01389
nef_Ra,81,0.40278,0.58333,0.08333
nef_Ra,82,0.41096,0.63014,0.0411
nef_Ra,83,0.40278,0.59722,0.04167
nef_Ra,84,0.41667,0.56944,0.0
nef_Ra,85,0.375,0.56944,0.04167
nef_Ra,86,0.34247,0.54795,0.06849
nef_Ra,87,0.375,0.58333,0.05556
nef_Ra,88,0.34722,0.58333,0.01389
nef_Ra,89,0.33333,0.56944,0.01389
nef_Ra,90,0.45205,0.61644,0.06849
nef_Ra,91,0.38889,0.51389,0.01389
nef_Ra,92,0.44444,0.65278,0.04167
nef_Ra,93,0.44444,0.625,0.06944
nef_Ra,94,0.32877,0.50685,0.05479
nef_Ra,95,0.36111,0.58333,0.04167
nef_Ra,96,0.38889,0.625,0.05556
nef_Ra,97,0.38889,0.59722,0.01389
nef_Ra,98,0.43836,0.56164,0.0411
nef_Ra,99,0.31944,0.56944,0.02778
nef_Ra,100,0.31944,0.56944,0.01389
nef_Ra,101,0.41667,0.63889,0.04167
nef_Ra,102,0.41096,0.63014,0.0274
nef_Ra,103,0.36111,0.59722,0.05556
nef_Ra,104,0.31944,0.52778,0.06944
nef_Ra,105,0.5,0.68056,0.02778
nef_Ra,106,0.31507,0.58904,0.09589
nef_Ra,107,0.40278,0.61111,0.05556
nef_Ra,108,0.48611,0.65278,0.11111
nef_Ra,109,0.41667,0.55556,0.02778
nef_Ra,110,0.26027,0.52055,0.05479
nef_Ra,111,0.38889,0.61111,0.0
nef_Ra,112,0.41667,0.59722,0.05556
nef_Ra,113,0.44444,0.63889,0.05556
nef_Ra,114,0.35616,0.54795,0.0274
nef_Ra,115,0.38889,0.56944,0.09722
nef_Ra,116,0.375,0.55556,0.05556
nef_Ra,117,0.36111,0.58333,0.04167
nef_Ra,118,0.42466,0.67123,0.06849
nef_Ra,119,0.36111,0.52778,0.06944
roc_auc,0,0.74006,0.92324,0.51011
roc_auc,1,0.80267,0.91559,0.50142
roc_auc,2,0.775,0.90255,0.49544
roc_auc,3,0.72761,0.90581,0.49822
roc_auc,4,0.77604,0.9065,0.48696
roc_auc,5,0.72821,0.88988,0.48435
roc_auc,6,0.76199,0.93334,0.51541
roc_auc,7,0.77753,0.92246,0.49708
roc_auc,8,0.79463,0.89339,0.50056
roc_auc,9,0.77092,0.91126,0.49187
roc_auc,10,0.74356,0.91529,0.49254
roc_auc,11,0.76389,0.91164,0.48955
roc_auc,12,0.79048,0.9281,0.49882
roc_auc,13,0.74442,0.85368,0.51936
roc_auc,14,0.70976,0.91689,0.49689
roc_auc,15,0.76705,0.92479,0.47826
roc_auc,16,0.72003,0.90905,0.49245
roc_auc,17,0.81153,0.92137,0.49332
roc_auc,18,0.7675,0.92492,0.48569
roc_auc,19,0.7546,0.90146,0.48029
roc_auc,20,0.78323,0.9433,0.49911
roc_auc,21,0.76794,0.914,0.51473
roc_auc,22,0.71122,0.90283,0.50403
roc_auc,23,0.83953,0.93132,0.49505
roc_auc,24,0.75525,0.9245,0.48667
roc_auc,25,0.77137,0.9158,0.50953
roc_auc,26,0.75671,0.93632,0.50113
roc_auc,27,0.76524,0.89809,0.48723
roc_auc,28,0.7838,0.89677,0.48464
roc_auc,29,0.74166,0.90531,0.49043
roc_auc,30,0.7767,0.94683,0.4937
roc_auc,31,0.73436,0.88147,0.50894
roc_auc,32,0.74289,0.93548,0.51849
roc_auc,33,0.72845,0.90772,0.50953
roc_auc,34,0.83246,0.93194,0.49631
roc_auc,35,0.73152,0.85876,0.49938
roc_auc,36,0.7388,0.89427,0.49564
roc_auc,37,0.76187,0.90516,0.52197
roc_auc,38,0.78734,0.93242,0.52255
roc_auc,39,0.76444,0.91952,0.49447
roc_auc,40,0.77767,0.90497,0.52139
roc_auc,41,0.73465,0.89332,0.50663
roc_auc,42,0.77771,0.90553,0.52679
roc_auc,43,0.78486,0.90655,0.4965
roc_auc,44,0.79799,0.93795,0.4939
roc_auc,45,0.75878,0.89817,0.48638
roc_auc,46,0.75348,0.91962,0.50084
roc_auc,47,0.74295,0.90416,0.49793
roc_auc,48,0.76261,0.91833,0.49622
roc_auc,49,0.80946,0.90269,0.50345
roc_auc,50,0.75584,0.91523,0.48116
roc_auc,51,0.72351,0.91994,0.51762
roc_auc,52,0.76613,0.90586,0.53268
roc_auc,53,0.72349,0.92119,0.51792
roc_auc,54,0.76743,0.92606,0.51001
roc_auc,55,0.77176,0.92647,0.5237
roc_auc,56,0.74283,0.94049,0.50316
roc_auc,57,0.80388,0.92685,0.50084
roc_auc,58,0.7801,0.89618,0.5103
roc_auc,59,0.74853,0.89879,0.48521
roc_auc,60,0.77039,0.93506,0.52949
roc_auc,61,0.73022,0.90549,0.47856
roc_auc,62,0.79691,0.91385,0.49254
roc_auc,63,0.74677,0.86435,0.4936
roc_auc,64,0.78567,0.90077,0.47914
roc_auc,65,0.75306,0.90435,0.49824
roc_auc,66,0.76517,0.93317,0.48993
roc_auc,67,0.76232,0.9329,0.5017
roc_auc,68,0.78297,0.93238,0.52139
