,,LR,GBT,DClf
nef_Ra,0,0.42188,0.57812,0.04688
nef_Ra,1,0.48438,0.57812,0.07812
nef_Ra,2,0.42188,0.54688,0.09375
nef_Ra,3,0.42188,0.51562,0.14062
nef_Ra,4,0.45312,0.5,0.1875
nef_Ra,5,0.42188,0.5,0.14062
nef_Ra,6,0.42188,0.51562,0.14062
nef_Ra,7,0.48438,0.54688,0.04688
nef_Ra,8,0.42188,0.48438,0.07812
nef_Ra,9,0.51562,0.60938,0.10938
nef_Ra,10,0.45312,0.54688,0.09375
nef_Ra,11,0.4375,0.53125,0.125
nef_Ra,12,0.40625,0.5,0.15625
nef_Ra,13,0.45312,0.54688,0.09375
nef_Ra,14,0.40625,0.5,0.07812
nef_Ra,15,0.48438,0.54688,0.10938
nef_Ra,16,0.39062,0.54688,0.14062
nef_Ra,17,0.4375,0.5625,0.03125
nef_Ra,18,0.48438,0.57812,0.09375
nef_Ra,19,0.40625,0.48438,0.0625
nef_Ra,20,0.39062,0.57812,0.07812
nef_Ra,21,0.48438,0.54688,0.125
nef_Ra,22,0.39062,0.51562,0.09375
nef_Ra,23,0.45312,0.51562,0.03125
nef_Ra,24,0.46875,0.5,0.15625
nef_Ra,25,0.45312,0.51562,0.14062
nef_Ra,26,0.46875,0.5625,0.07812
nef_Ra,27,0.34375,0.54688,0.09375
nef_Ra,28,0.53125,0.57812,0.0625
nef_Ra,29,0.34375,0.4375,0.10938
nef_Ra,30,0.45312,0.57812,0.21875
nef_Ra,31,0.4375,0.5625,0.125
nef_Ra,32,0.48438,0.51562,0.03125
nef_Ra,33,0.48438,0.59375,0.10938
nef_Ra,34,0.42188,0.5,0.23438
nef_Ra,35,0.39062,0.51562,0.09375
nef_Ra,36,0.46875,0.59375,0.17188
nef_Ra,37,0.40625,0.54688,0.07812
nef_Ra,38,0.4375,0.57812,0.15625
nef_Ra,39,0.375,0.46875,0.10938
nef_Ra,40,0.39062,0.51562,0.125
nef_Ra,41,0.5,0.60938,0.10938
nef_Ra,42,0.40625,0.53125,0.07812
nef_Ra,43,0.48438,0.54688,0.0625
nef_Ra,44,0.45312,0.53125,0.09375
nef_Ra,45,0.45312,0.54688,0.07812
nef_Ra,46,0.42188,0.5,0.15625
nef_Ra,47,0.42188,0.54688,0.04688
nef_Ra,48,0.48438,0.5625,0.15625
nef_Ra,49,0.4375,0.5625,0.0
nef_Ra,50,0.42188,0.4375,0.14062
nef_Ra,51,0.375,0.57812,0.14062
nef_Ra,52,0.29688,0.45312,0.14062
nef_Ra,53,0.5,0.57812,0.09375
nef_Ra,54,0.48438,0.57812,0.17188
nef_Ra,55,0.42188,0.53125,0.04688
nef_Ra,56,0.48438,0.57812,0.0625
nef_Ra,57,0.4375,0.53125,0.10938
nef_Ra,58,0.4375,0.54688,0.0625
nef_Ra,59,0.39062,0.45312,0.09375
nef_Ra,60,0.45312,0.53125,0.0625
nef_Ra,61,0.35938,0.46875,0.03125
nef_Ra,62,0.46875,0.54688,0.07812
nef_Ra,63,0.48438,0.48438,0.0625
nef_Ra,64,0.45312,0.46875,0.15625
nef_Ra,65,0.40625,0.5,0.0625
nef_Ra,66,0.35938,0.45312,0.07812
nef_Ra,67,0.5625,0.625,0.14062
nef_Ra,68,0.375,0.48438,0.07812
nef_Ra,69,0.42188,0.51562,0.0625
nef_Ra,70,0.45312,0.54688,0.14062
nef_Ra,71,0.45312,0.5,0.10938
nef_Ra,72,0.45312,0.45312,0.03125
nef_Ra,73,0.46875,0.51562,0.1875
nef_Ra,74,0.4375,0.5625,0.03125
nef_Ra,75,0.375,0.59375,0.03125
nef_Ra,76,0.45312,0.54688,0.07812
nef_Ra,77,0.45312,0.625,0.10938
nef_Ra,78,0.45312,0.54688,0.07812
nef_Ra,79,0.45312,0.51562,0.0625
nef_Ra,80,0.45312,0.5625,0.09375
nef_Ra,81,0.42188,0.59375,0.07812
nef_Ra,82,0.4375,0.5625,0.09375
nef_Ra,83,0.42188,0.5625,0.07812
nef_Ra,84,0.4375,0.57812,0.07812
nef_Ra,85,0.48438,0.59375,0.09375
nef_Ra,86,0.40625,0.54688,0.04688
nef_Ra,87,0.40625,0.51562,0.07812
nef_Ra,88,0.40625,0.51562,0.15625
nef_Ra,89,0.45312,0.60938,0.07812
nef_Ra,90,0.45312,0.60938,0.125
nef_Ra,91,0.46875,0.48438,0.09375
nef_Ra,92,0.48438,0.48438,0.10938
nef_Ra,93,0.46875,0.625,0.14062
nef_Ra,94,0.4375,0.53125,0.125
nef_Ra,95,0.32812,0.46875,0.125
nef_Ra,96,0.45312,0.5625,0.14062
nef_Ra,97,0.34375,0.45312,0.07812
nef_Ra,98,0.4375,0.53125,0.10938
nef_Ra,99,0.48438,0.57812,0.04688
nef_Ra,100,0.375,0.48438,0.09375
nef_Ra,101,0.48438,0.64062,0.125
nef_Ra,102,0.42188,0.54688,0.09375
nef_Ra,103,0.42188,0.48438,0.17188
nef_Ra,104,0.45312,0.53125,0.125
nef_Ra,105,0.5,0.54688,0.10938
nef_Ra,106,0.375,0.57812,0.07812
nef_Ra,107,0.42188,0.48438,0.15625
nef_Ra,108,0.4375,0.64062,0.09375
nef_Ra,109,0.35938,0.42188,0.17188
nef_Ra,110,0.48438,0.53125,0.14062
nef_Ra,111,0.46875,0.53125,0.09375
nef_Ra,112,0.42188,0.54688,0.07812
nef_Ra,113,0.46875,0.5625,0.17188
nef_Ra,114,0.46875,0.51562,0.09375
nef_Ra,115,0.45312,0.57812,0.10938
nef_Ra,116,0.39062,0.57812,0.04688
nef_Ra,117,0.40625,0.59375,0.0625
nef_Ra,118,0.45312,0.46875,0.125
nef_Ra,119,0.46875,0.51562,0.07812
roc_auc,0,0.78485,0.86591,0.49316
roc_auc,1,0.81866,0.88824,0.49512
roc_auc,2,0.80467,0.84791,0.44713
roc_auc,3,0.76208,0.84023,0.51064
roc_auc,4,0.77359,0.82028,0.49609
roc_auc,5,0.80536,0.8652,0.47656
roc_auc,6,0.71621,0.84824,0.48915
roc_auc,7,0.83176,0.83977,0.48133
roc_auc,8,0.79657,0.8013,0.45605
roc_auc,9,0.80746,0.8765,0.46973
roc_auc,10,0.79385,0.87512,0.52333
roc_auc,11,0.78538,0.86256,0.49207
roc_auc,12,0.76624,0.83771,0.48438
roc_auc,13,0.76315,0.84799,0.4873
roc_auc,14,0.80431,0.85464,0.50966
roc_auc,15,0.82546,0.8558,0.44421
roc_auc,16,0.75995,0.8541,0.48438
roc_auc,17,0.82208,0.86533,0.4873
roc_auc,18,0.77721,0.89368,0.53406
roc_auc,19,0.80067,0.83173,0.55362
roc_auc,20,0.77106,0.84811,0.51465
roc_auc,21,0.82455,0.86353,0.53125
roc_auc,22,0.74177,0.85253,0.53018
roc_auc,23,0.81614,0.85846,0.50281
roc_auc,24,0.82388,0.84323,0.49414
roc_auc,25,0.76862,0.86304,0.46582
roc_auc,26,0.8155,0.82871,0.49207
roc_auc,27,0.74177,0.8684,0.48037
roc_auc,28,0.82483,0.84402,0.49316
roc_auc,29,0.76871,0.80417,0.51367
roc_auc,30,0.79785,0.87638,0.4823
roc_auc,31,0.78183,0.83974,0.49112
roc_auc,32,0.77551,0.87738,0.52539
roc_auc,33,0.7973,0.87405,0.48242
roc_auc,34,0.81996,0.83864,0.49697
roc_auc,35,0.76657,0.85341,0.52628
roc_auc,36,0.776,0.88312,0.50391
roc_auc,37,0.77405,0.8493,0.49609
roc_auc,38,0.8114,0.88185,0.51552
roc_auc,39,0.78938,0.84837,0.50772
roc_auc,40,0.75018,0.8421,0.50293
roc_auc,41,0.8038,0.8931,0.45801
roc_auc,42,0.81846,0.85782,0.5126
roc_auc,43,0.78694,0.8454,0.52527
roc_auc,44,0.77972,0.84531,0.51758
roc_auc,45,0.78442,0.88977,0.46094
roc_auc,46,0.78195,0.85815,0.4833
roc_auc,47,0.81152,0.8598,0.52335
roc_auc,48,0.82767,0.87177,0.48438
roc_auc,49,0.80099,0.89029,0.48535
roc_auc,50,0.79018,0.84736,0.49404
roc_auc,51,0.74826,0.87524,0.52625
roc_auc,52,0.7561,0.77527,0.48535
roc_auc,53,0.77313,0.87469,0.51855
roc_auc,54,0.85121,0.89145,0.45202
roc_auc,55,0.76303,0.85078,0.49208
roc_auc,56,0.78439,0.85065,0.46387
roc_auc,57,0.79208,0.85477,0.50391
roc_auc,58,0.77452,0.83583,0.47941
roc_auc,59,0.78033,0.86537,0.51063
roc_auc,60,0.7507,0.85635,0.52344
roc_auc,61,0.78027,0.82108,0.5
roc_auc,62,0.81437,0.86237,0.51847
roc_auc,63,0.80226,0.83663,0.50182
roc_auc,64,0.79761,0.85693,0.5
roc_auc,65,0.75687,0.82965,0.5
roc_auc,66,0.7559,0.80437,0.48035
roc_auc,67,0.82131,0.90279,0.50477
roc_auc,68,0.76154,0.83658,0.52637
roc_auc,69,0.75684,0.85785,0.52148
roc_auc,70,0.86057,0.87417,0.51651
roc_auc,71,0.78354,0.83644,0.48135
roc_auc,72,0.78735,0.83466,0.52832
roc_auc,73,0.81091,0.85312,0.50781
roc_auc,74,0.76348,0.8573,0.52332
roc_auc,75,0.77562,0.87255,0.49306
roc_auc,76,0.77448,0.88358,0.55859
roc_auc,77,0.77551,0.90421,0.5127
