,,LR,GBT,DClf
nef_Ra,0,0.4,0.46667,0.13333
nef_Ra,1,0.42667,0.57333,0.06667
nef_Ra,2,0.36486,0.51351,0.13514
nef_Ra,3,0.35135,0.47297,0.13514
nef_Ra,4,0.29333,0.44,0.08
nef_Ra,5,0.42667,0.53333,0.12
nef_Ra,6,0.35135,0.5,0.12162
nef_Ra,7,0.33784,0.48649,0.14865
nef_Ra,8,0.33333,0.48,0.06667
nef_Ra,9,0.38667,0.52,0.13333
nef_Ra,10,0.39189,0.58108,0.12162
nef_Ra,11,0.35135,0.47297,0.09459
nef_Ra,12,0.37333,0.49333,0.13333
nef_Ra,13,0.36,0.48,0.12
nef_Ra,14,0.33784,0.54054,0.13514
nef_Ra,15,0.35135,0.55405,0.14865
nef_Ra,16,0.38667,0.52,0.13333
nef_Ra,17,0.42667,0.56,0.16
nef_Ra,18,0.37838,0.5,0.12162
nef_Ra,19,0.32432,0.5,0.14865
nef_Ra,20,0.30667,0.50667,0.13333
nef_Ra,21,0.38667,0.54667,0.10667
nef_Ra,22,0.43243,0.52703,0.12162
nef_Ra,23,0.36486,0.5,0.12162
nef_Ra,24,0.42667,0.53333,0.16
nef_Ra,25,0.28,0.44,0.16
nef_Ra,26,0.37838,0.54054,0.13514
nef_Ra,27,0.32432,0.54054,0.13514
nef_Ra,28,0.41333,0.45333,0.18667
nef_Ra,29,0.36,0.53333,0.05333
nef_Ra,30,0.31081,0.51351,0.13514
nef_Ra,31,0.35135,0.58108,0.08108
nef_Ra,32,0.34667,0.54667,0.12
nef_Ra,33,0.4,0.56,0.09333
nef_Ra,34,0.36486,0.47297,0.09459
nef_Ra,35,0.32432,0.48649,0.13514
nef_Ra,36,0.34667,0.53333,0.10667
nef_Ra,37,0.37333,0.48,0.16
nef_Ra,38,0.40541,0.66216,0.06757
nef_Ra,39,0.36486,0.5,0.17568
nef_Ra,40,0.4,0.53333,0.14667
nef_Ra,41,0.33333,0.48,0.14667
nef_Ra,42,0.39189,0.58108,0.14865
nef_Ra,43,0.36486,0.45946,0.12162
nef_Ra,44,0.42667,0.62667,0.13333
nef_Ra,45,0.34667,0.48,0.09333
nef_Ra,46,0.33784,0.54054,0.17568
nef_Ra,47,0.36486,0.45946,0.18919
nef_Ra,48,0.33333,0.54667,0.14667
nef_Ra,49,0.33333,0.50667,0.12
nef_Ra,50,0.43243,0.51351,0.12162
nef_Ra,51,0.40541,0.54054,0.17568
nef_Ra,52,0.38667,0.56,0.10667
nef_Ra,53,0.29333,0.49333,0.08
nef_Ra,54,0.43243,0.59459,0.08108
nef_Ra,55,0.35135,0.48649,0.13514
nef_Ra,56,0.38667,0.56,0.14667
nef_Ra,57,0.34667,0.54667,0.10667
nef_Ra,58,0.33784,0.51351,0.12162
nef_Ra,59,0.41892,0.52703,0.13514
nef_Ra,60,0.32,0.50667,0.17333
nef_Ra,61,0.4,0.49333,0.17333
nef_Ra,62,0.2973,0.55405,0.08108
nef_Ra,63,0.40541,0.63514,0.09459
nef_Ra,64,0.37333,0.52,0.14667
nef_Ra,65,0.32,0.44,0.12
nef_Ra,66,0.43243,0.52703,0.12162
nef_Ra,67,0.33784,0.56757,0.12162
nef_Ra,68,0.33333,0.58667,0.14667
nef_Ra,69,0.34667,0.54667,0.12
nef_Ra,70,0.39189,0.52703,0.16216
nef_Ra,71,0.35135,0.5,0.12162
nef_Ra,72,0.33333,0.52,0.16
nef_Ra,73,0.44,0.57333,0.05333
nef_Ra,74,0.33784,0.48649,0.13514
nef_Ra,75,0.41892,0.59459,0.10811
nef_Ra,76,0.32,0.46667,0.09333
nef_Ra,77,0.38667,0.54667,0.08
nef_Ra,78,0.41892,0.58108,0.13514
nef_Ra,79,0.27027,0.48649,0.16216
nef_Ra,80,0.32,0.48,0.14667
nef_Ra,81,0.38667,0.57333,0.09333
nef_Ra,82,0.37838,0.59459,0.14865
nef_Ra,83,0.33784,0.51351,0.12162
nef_Ra,84,0.37333,0.56,0.16
nef_Ra,85,0.37333,0.58667,0.21333
nef_Ra,86,0.39189,0.52703,0.13514
nef_Ra,87,0.33784,0.48649,0.12162
nef_Ra,88,0.41333,0.6,0.09333
nef_Ra,89,0.36,0.49333,0.13333
nef_Ra,90,0.31081,0.52703,0.14865
nef_Ra,91,0.37838,0.51351,0.13514
nef_Ra,92,0.33333,0.56,0.16
nef_Ra,93,0.45333,0.52,0.14667
nef_Ra,94,0.36486,0.63514,0.14865
nef_Ra,95,0.40541,0.55405,0.10811
nef_Ra,96,0.41333,0.52,0.14667
nef_Ra,97,0.34667,0.52,0.13333
nef_Ra,98,0.37838,0.52703,0.13514
nef_Ra,99,0.40541,0.52703,0.12162
nef_Ra,100,0.37333,0.54667,0.14667
nef_Ra,101,0.38667,0.58667,0.08
nef_Ra,102,0.35135,0.45946,0.13514
nef_Ra,103,0.36486,0.5,0.13514
nef_Ra,104,0.36,0.48,0.14667
nef_Ra,105,0.38667,0.62667,0.08
nef_Ra,106,0.40541,0.51351,0.09459
nef_Ra,107,0.31081,0.5,0.12162
nef_Ra,108,0.33333,0.49333,0.16
nef_Ra,109,0.41333,0.52,0.13333
nef_Ra,110,0.35135,0.56757,0.09459
nef_Ra,111,0.39189,0.54054,0.06757
nef_Ra,112,0.32,0.44,0.10667
nef_Ra,113,0.33333,0.53333,0.13333
nef_Ra,114,0.35135,0.48649,0.12162
nef_Ra,115,0.41892,0.55405,0.08108
nef_Ra,116,0.4,0.48,0.12
nef_Ra,117,0.37333,0.57333,0.14667
nef_Ra,118,0.2973,0.5,0.06757
nef_Ra,119,0.41892,0.54054,0.13514
roc_auc,0,0.73745,0.81442,0.52052
roc_auc,1,0.74553,0.84491,0.46626
roc_auc,2,0.73106,0.81254,0.4772
roc_auc,3,0.72073,0.78005,0.5396
roc_auc,4,0.69281,0.81425,0.51292
roc_auc,5,0.74724,0.82444,0.50905
roc_auc,6,0.73868,0.80519,0.51244
roc_auc,7,0.74382,0.83523,0.4817
roc_auc,8,0.69539,0.7967,0.50812
roc_auc,9,0.74416,0.83343,0.48254
roc_auc,10,0.73798,0.84859,0.50701
roc_auc,11,0.72193,0.81911,0.45534
roc_auc,12,0.72275,0.81373,0.48796
roc_auc,13,0.71105,0.8111,0.49139
roc_auc,14,0.76656,0.87304,0.50025
roc_auc,15,0.77268,0.86141,0.48051
roc_auc,16,0.76803,0.83123,0.51757
roc_auc,17,0.78431,0.85019,0.49369
roc_auc,18,0.727,0.83277,0.49257
roc_auc,19,0.67999,0.81089,0.47653
roc_auc,20,0.68939,0.80027,0.5385
roc_auc,21,0.73586,0.8259,0.49648
roc_auc,22,0.78386,0.84844,0.48355
roc_auc,23,0.77102,0.85732,0.53311
roc_auc,24,0.74771,0.78875,0.50254
roc_auc,25,0.69016,0.80979,0.49123
roc_auc,26,0.73542,0.84759,0.48488
roc_auc,27,0.74222,0.82844,0.49773
roc_auc,28,0.75616,0.82022,0.49773
roc_auc,29,0.7545,0.84657,0.52905
roc_auc,30,0.68698,0.82711,0.47256
roc_auc,31,0.74457,0.85052,0.48236
roc_auc,32,0.77115,0.84503,0.46549
roc_auc,33,0.74436,0.84201,0.47603
roc_auc,34,0.72464,0.80111,0.51588
roc_auc,35,0.70839,0.80469,0.52635
roc_auc,36,0.69779,0.82674,0.48549
roc_auc,37,0.75462,0.82302,0.51587
roc_auc,38,0.79534,0.88149,0.48581
roc_auc,39,0.73001,0.80735,0.50634
roc_auc,40,0.74545,0.84404,0.47511
roc_auc,41,0.70292,0.81673,0.47276
roc_auc,42,0.77378,0.83593,0.51615
roc_auc,43,0.72126,0.83681,0.51284
roc_auc,44,0.76694,0.86072,0.48905
roc_auc,45,0.73777,0.80235,0.50533
roc_auc,46,0.68891,0.8065,0.50701
roc_auc,47,0.7369,0.8066,0.44208
roc_auc,48,0.72719,0.82523,0.53369
roc_auc,49,0.68582,0.82431,0.50981
roc_auc,50,0.76726,0.82839,0.49005
roc_auc,51,0.74956,0.83448,0.48303
roc_auc,52,0.71197,0.82865,0.54238
roc_auc,53,0.7515,0.84258,0.50036
roc_auc,54,0.75984,0.83448,0.51562
roc_auc,55,0.71406,0.8086,0.5029
roc_auc,56,0.76055,0.83665,0.49991
roc_auc,57,0.71532,0.84342,0.48129
roc_auc,58,0.69731,0.83706,0.48329
roc_auc,59,0.79233,0.84817,0.47627
roc_auc,60,0.73001,0.8259,0.49014
roc_auc,61,0.7312,0.812,0.49216
roc_auc,62,0.74452,0.84982,0.47865
roc_auc,63,0.75498,0.85702,0.51946
roc_auc,64,0.74466,0.83477,0.53959
roc_auc,65,0.70743,0.77502,0.53183
roc_auc,66,0.80655,0.86329,0.51959
roc_auc,67,0.72624,0.84684,0.50078
roc_auc,68,0.73527,0.83675,0.55555
roc_auc,69,0.7453,0.83613,0.46828
roc_auc,70,0.77543,0.85586,0.49402
roc_auc,71,0.70669,0.78293,0.50939
roc_auc,72,0.70087,0.8145,0.46937
roc_auc,73,0.79135,0.85435,0.48052
roc_auc,74,0.73918,0.84548,0.51628
roc_auc,75,0.72722,0.87359,0.4707
roc_auc,76,0.7057,0.78627,0.50905
roc_auc,77,0.75066,0.8709,0.50052
roc_auc,78,0.77594,0.87254,0.53006
roc_auc,79,0.72121,0.82949,0.50237
roc_auc,80,0.72709,0.83465,0.46456
roc_auc,81,0.75046,0.85522,0.49074
roc_auc,82,0.74277,0.85499,0.52078
roc_auc,83,0.71772,0.81001,0.50078
roc_auc,84,0.7601,0.87043,0.47292
roc_auc,85,0.75375,0.84686,0.51757
roc_auc,86,0.72923,0.80472,0.49985
roc_auc,87,0.72151,0.82442,0.48515
roc_auc,88,0.783,0.88932,0.52888
roc_auc,89,0.74674,0.81985,0.47216
roc_auc,90,0.69508,0.80502,0.50794
roc_auc,91,0.7378,0.8233,0.5033
roc_auc,92,0.71824,0.82662,0.49276
roc_auc,93,0.77046,0.8309,0.49943
roc_auc,94,0.72589,0.84734,0.47322
roc_auc,95,0.72878,0.83378,0.47494
roc_auc,96,0.73487,0.83983,0.47309
roc_auc,97,0.7057,0.81792,0.49385
roc_auc,98,0.76383,0.85749,0.54198
roc_auc,99,0.77436,0.85067,0.52595
roc_auc,100,0.75492,0.85076,0.52068
roc_auc,101,0.74964,0.86399,0.52331
roc_auc,102,0.71539,0.79126,0.53523
roc_auc,103,0.74319,0.82252,0.50051
roc_auc,104,0.74201,0.82399,0.51789
roc_auc,105,0.76226,0.86942,0.51773
roc_auc,106,0.74016,0.83977,0.54013
roc_auc,107,0.71035,0.81796,0.5298
roc_auc,108,0.72297,0.82664,0.5109
roc_auc,109,0.76617,0.82069,0.52686
roc_auc,110,0.76513,0.85825,0.48236
roc_auc,111,0.75117,0.80963,0.49283
roc_auc,112,0.71371,0.79331,0.47773
roc_auc,113,0.71219,0.81965,0.50145
roc_auc,114,0.73349,0.82207,0.50913
roc_auc,115,0.78421,0.8598,0.51588
roc_auc,116,0.7624,0.83903,0.50347
roc_auc,117,0.72862,0.81958,0.51664
roc_auc,118,0.69503,0.82059,0.50568
roc_auc,119,0.74969,0.86223,0.47468
