,,LR,GBT,DClf
nef_Ra,0,0.70667,0.81333,0.13333
nef_Ra,1,0.82667,0.85333,0.17333
nef_Ra,2,0.72973,0.7973,0.12162
nef_Ra,3,0.77027,0.87838,0.14865
nef_Ra,4,0.8,0.85333,0.13333
nef_Ra,5,0.8,0.88,0.13333
nef_Ra,6,0.77027,0.85135,0.09459
nef_Ra,7,0.67568,0.81081,0.12162
nef_Ra,8,0.70667,0.74667,0.09333
nef_Ra,9,0.76,0.88,0.05333
nef_Ra,10,0.78378,0.86486,0.08108
nef_Ra,11,0.7973,0.90541,0.10811
nef_Ra,12,0.84,0.88,0.09333
nef_Ra,13,0.73333,0.82667,0.16
nef_Ra,14,0.74324,0.83784,0.14865
nef_Ra,15,0.75676,0.86486,0.08108
nef_Ra,16,0.81333,0.86667,0.08
nef_Ra,17,0.73333,0.85333,0.12
nef_Ra,18,0.75676,0.81081,0.09459
nef_Ra,19,0.75676,0.85135,0.13514
nef_Ra,20,0.76,0.81333,0.16
nef_Ra,21,0.74667,0.84,0.12
nef_Ra,22,0.7027,0.85135,0.09459
nef_Ra,23,0.81081,0.90541,0.12162
nef_Ra,24,0.82667,0.89333,0.02667
nef_Ra,25,0.66667,0.82667,0.04
nef_Ra,26,0.81081,0.85135,0.13514
nef_Ra,27,0.75676,0.87838,0.13514
nef_Ra,28,0.77333,0.88,0.13333
nef_Ra,29,0.81333,0.85333,0.16
nef_Ra,30,0.71622,0.77027,0.09459
nef_Ra,31,0.71622,0.82432,0.16216
nef_Ra,32,0.76,0.85333,0.12
nef_Ra,33,0.77333,0.89333,0.08
nef_Ra,34,0.77027,0.85135,0.10811
nef_Ra,35,0.77027,0.85135,0.10811
nef_Ra,36,0.74667,0.84,0.13333
nef_Ra,37,0.76,0.85333,0.14667
nef_Ra,38,0.7027,0.82432,0.06757
nef_Ra,39,0.81081,0.87838,0.05405
nef_Ra,40,0.8,0.85333,0.09333
nef_Ra,41,0.74667,0.84,0.14667
nef_Ra,42,0.77027,0.90541,0.13514
nef_Ra,43,0.74324,0.82432,0.13514
nef_Ra,44,0.74667,0.88,0.09333
nef_Ra,45,0.72,0.77333,0.14667
nef_Ra,46,0.77027,0.85135,0.17568
nef_Ra,47,0.85135,0.90541,0.12162
nef_Ra,48,0.72,0.81333,0.06667
nef_Ra,49,0.77333,0.84,0.13333
nef_Ra,50,0.81081,0.90541,0.16216
nef_Ra,51,0.75676,0.83784,0.13514
nef_Ra,52,0.73333,0.88,0.06667
nef_Ra,53,0.82667,0.90667,0.10667
nef_Ra,54,0.75676,0.85135,0.21622
nef_Ra,55,0.71622,0.78378,0.09459
nef_Ra,56,0.68,0.77333,0.13333
nef_Ra,57,0.77333,0.84,0.09333
nef_Ra,58,0.7973,0.87838,0.12162
nef_Ra,59,0.82432,0.90541,0.16216
nef_Ra,60,0.78667,0.86667,0.10667
nef_Ra,61,0.68,0.85333,0.12
nef_Ra,62,0.74324,0.83784,0.14865
nef_Ra,63,0.81081,0.91892,0.17568
nef_Ra,64,0.81333,0.84,0.06667
nef_Ra,65,0.73333,0.78667,0.16
nef_Ra,66,0.7973,0.89189,0.16216
nef_Ra,67,0.72973,0.82432,0.10811
nef_Ra,68,0.77333,0.86667,0.09333
nef_Ra,69,0.69333,0.81333,0.14667
nef_Ra,70,0.77027,0.89189,0.13514
nef_Ra,71,0.77027,0.83784,0.12162
nef_Ra,72,0.77333,0.85333,0.10667
nef_Ra,73,0.70667,0.78667,0.12
nef_Ra,74,0.72973,0.86486,0.14865
nef_Ra,75,0.85135,0.93243,0.10811
