,,GBT
nef_Ra,0,0.83636
nef_Ra,1,0.7
nef_Ra,2,0.8018
nef_Ra,3,0.72072
nef_Ra,4,0.77273
nef_Ra,5,0.77273
nef_Ra,6,0.75676
nef_Ra,7,0.79279
nef_Ra,8,0.75455
nef_Ra,9,0.78182
nef_Ra,10,0.77477
nef_Ra,11,0.79279
nef_Ra,12,0.73636
nef_Ra,13,0.76364
nef_Ra,14,0.79279
nef_Ra,15,0.76577
nef_Ra,16,0.8
nef_Ra,17,0.79091
nef_Ra,18,0.81081
nef_Ra,19,0.74775
nef_Ra,20,0.8
nef_Ra,21,0.77273
nef_Ra,22,0.77477
nef_Ra,23,0.76577
nef_Ra,24,0.79091
nef_Ra,25,0.74545
nef_Ra,26,0.74775
nef_Ra,27,0.77477
nef_Ra,28,0.77273
nef_Ra,29,0.80909
nef_Ra,30,0.78378
nef_Ra,31,0.7027
nef_Ra,32,0.81818
nef_Ra,33,0.78182
nef_Ra,34,0.73874
nef_Ra,35,0.75676
nef_Ra,36,0.8
nef_Ra,37,0.75455
nef_Ra,38,0.76577
nef_Ra,39,0.74775
nef_Ra,40,0.75455
nef_Ra,41,0.82727
nef_Ra,42,0.75676
nef_Ra,43,0.78378
nef_Ra,44,0.77273
nef_Ra,45,0.8
nef_Ra,46,0.7027
nef_Ra,47,0.81081
nef_Ra,48,0.8
nef_Ra,49,0.75455
nef_Ra,50,0.74775
nef_Ra,51,0.83784
nef_Ra,52,0.74545
nef_Ra,53,0.76364
nef_Ra,54,0.76577
nef_Ra,55,0.81081
nef_Ra,56,0.81818
nef_Ra,57,0.76364
nef_Ra,58,0.71171
nef_Ra,59,0.79279
nef_Ra,60,0.78182
nef_Ra,61,0.70909
nef_Ra,62,0.79279
nef_Ra,63,0.78378
nef_Ra,64,0.76364
nef_Ra,65,0.76364
nef_Ra,66,0.8018
nef_Ra,67,0.74775
nef_Ra,68,0.78182
nef_Ra,69,0.72727
nef_Ra,70,0.75676
nef_Ra,71,0.79279
nef_Ra,72,0.76364
nef_Ra,73,0.74545
nef_Ra,74,0.78378
nef_Ra,75,0.74775
