,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_64
nef_Ra,0,0.29688,0.4375,0.48438,0.39062,0.46875,0.53125,0.51562
nef_Ra,1,0.28125,0.51562,0.48438,0.53125,0.53125,0.5625,0.54688
nef_Ra,2,0.32812,0.45312,0.5,0.46875,0.5625,0.46875,0.51562
nef_Ra,3,0.28125,0.45312,0.54688,0.48438,0.53125,0.48438,0.48438
nef_Ra,4,0.21875,0.46875,0.48438,0.46875,0.42188,0.40625,0.5
nef_Ra,5,0.3125,0.45312,0.5,0.45312,0.5,0.48438,0.45312
nef_Ra,6,0.35938,0.40625,0.48438,0.4375,0.4375,0.5,0.5
nef_Ra,7,0.28125,0.42188,0.46875,0.46875,0.51562,0.48438,0.51562
nef_Ra,8,0.39062,0.4375,0.46875,0.4375,0.54688,0.45312,0.54688
nef_Ra,9,0.29688,0.53125,0.53125,0.46875,0.53125,0.5,0.51562
nef_Ra,10,0.35938,0.45312,0.51562,0.46875,0.45312,0.5,0.5
nef_Ra,11,0.28125,0.39062,0.5,0.53125,0.42188,0.45312,0.40625
nef_Ra,12,0.3125,0.46875,0.5,0.4375,0.48438,0.4375,0.48438
nef_Ra,13,0.28125,0.51562,0.51562,0.45312,0.48438,0.4375,0.46875
nef_Ra,14,0.26562,0.42188,0.51562,0.46875,0.48438,0.54688,0.53125
nef_Ra,15,0.26562,0.5,0.46875,0.45312,0.51562,0.42188,0.5
nef_Ra,16,0.3125,0.46875,0.46875,0.51562,0.51562,0.45312,0.51562
nef_Ra,17,0.29688,0.40625,0.5625,0.40625,0.48438,0.51562,0.5
nef_Ra,18,0.3125,0.5625,0.5,0.53125,0.5625,0.5,0.5625
nef_Ra,19,0.3125,0.45312,0.39062,0.42188,0.4375,0.40625,0.5
nef_Ra,20,0.34375,0.5,0.53125,0.5,0.53125,0.53125,0.54688
nef_Ra,21,0.3125,0.45312,0.48438,0.46875,0.45312,0.5,0.5
nef_Ra,22,0.28125,0.46875,0.4375,0.45312,0.54688,0.5,0.48438
