,,GBT
nef_Ra,0,0.83784
nef_Ra,1,0.82432
nef_Ra,2,0.84
nef_Ra,3,0.84
nef_Ra,4,0.89189
nef_Ra,5,0.81081
nef_Ra,6,0.78667
nef_Ra,7,0.88
nef_Ra,8,0.85135
nef_Ra,9,0.87838
nef_Ra,10,0.81333
nef_Ra,11,0.86667
nef_Ra,12,0.77027
nef_Ra,13,0.87838
nef_Ra,14,0.89333
nef_Ra,15,0.85333
nef_Ra,16,0.86486
nef_Ra,17,0.83784
nef_Ra,18,0.85333
nef_Ra,19,0.85333
nef_Ra,20,0.86486
nef_Ra,21,0.89189
nef_Ra,22,0.78667
nef_Ra,23,0.85333
nef_Ra,24,0.89189
nef_Ra,25,0.90541
nef_Ra,26,0.82667
nef_Ra,27,0.8
nef_Ra,28,0.7973
nef_Ra,29,0.82432
nef_Ra,30,0.86667
nef_Ra,31,0.88
nef_Ra,32,0.83784
nef_Ra,33,0.86486
nef_Ra,34,0.88
nef_Ra,35,0.88
nef_Ra,36,0.87838
nef_Ra,37,0.82432
nef_Ra,38,0.84
nef_Ra,39,0.89333
nef_Ra,40,0.86486
nef_Ra,41,0.83784
nef_Ra,42,0.82667
nef_Ra,43,0.82667
nef_Ra,44,0.78378
nef_Ra,45,0.86486
nef_Ra,46,0.86667
nef_Ra,47,0.86667
nef_Ra,48,0.90541
nef_Ra,49,0.7973
nef_Ra,50,0.86667
nef_Ra,51,0.84
nef_Ra,52,0.82432
nef_Ra,53,0.83784
nef_Ra,54,0.81333
nef_Ra,55,0.86667
nef_Ra,56,0.90541
nef_Ra,57,0.77027
nef_Ra,58,0.90667
nef_Ra,59,0.85333
nef_Ra,60,0.86486
nef_Ra,61,0.83784
nef_Ra,62,0.85333
nef_Ra,63,0.82667
nef_Ra,64,0.83784
nef_Ra,65,0.91892
nef_Ra,66,0.82667
nef_Ra,67,0.86667
nef_Ra,68,0.83784
nef_Ra,69,0.86486
nef_Ra,70,0.85333
nef_Ra,71,0.85333
nef_Ra,72,0.93243
nef_Ra,73,0.78378
nef_Ra,74,0.81333
nef_Ra,75,0.82667
nef_Ra,76,0.85135
nef_Ra,77,0.85135
nef_Ra,78,0.88
nef_Ra,79,0.88
nef_Ra,80,0.89189
nef_Ra,81,0.86486
nef_Ra,82,0.8
nef_Ra,83,0.86667
nef_Ra,84,0.89189
nef_Ra,85,0.89189
nef_Ra,86,0.74667
nef_Ra,87,0.89333
nef_Ra,88,0.87838
nef_Ra,89,0.83784
nef_Ra,90,0.92
nef_Ra,91,0.81333
nef_Ra,92,0.83784
nef_Ra,93,0.85135
nef_Ra,94,0.85333
nef_Ra,95,0.86667
nef_Ra,96,0.82432
nef_Ra,97,0.85135
nef_Ra,98,0.86667
nef_Ra,99,0.86667
nef_Ra,100,0.82432
nef_Ra,101,0.83784
nef_Ra,102,0.90667
nef_Ra,103,0.82667
nef_Ra,104,0.86486
nef_Ra,105,0.89189
nef_Ra,106,0.8
nef_Ra,107,0.85333
nef_Ra,108,0.85135
nef_Ra,109,0.86486
nef_Ra,110,0.84
nef_Ra,111,0.8
nef_Ra,112,0.87838
nef_Ra,113,0.81081
nef_Ra,114,0.85333
nef_Ra,115,0.85333
nef_Ra,116,0.78378
nef_Ra,117,0.87838
nef_Ra,118,0.89333
nef_Ra,119,0.85333
roc_auc,0,0.96064
roc_auc,1,0.92734
roc_auc,2,0.93888
roc_auc,3,0.94937
roc_auc,4,0.97621
roc_auc,5,0.94274
roc_auc,6,0.93494
roc_auc,7,0.95081
roc_auc,8,0.95735
roc_auc,9,0.95738
roc_auc,10,0.90686
roc_auc,11,0.95886
roc_auc,12,0.9295
roc_auc,13,0.96493
roc_auc,14,0.96156
roc_auc,15,0.9403
roc_auc,16,0.96818
roc_auc,17,0.93835
roc_auc,18,0.93903
roc_auc,19,0.95913
roc_auc,20,0.96966
roc_auc,21,0.97104
roc_auc,22,0.90084
roc_auc,23,0.94379
roc_auc,24,0.96279
roc_auc,25,0.97465
roc_auc,26,0.95375
roc_auc,27,0.92097
roc_auc,28,0.9033
roc_auc,29,0.94409
roc_auc,30,0.95373
roc_auc,31,0.96245
roc_auc,32,0.94547
roc_auc,33,0.95214
roc_auc,34,0.95204
roc_auc,35,0.96392
roc_auc,36,0.95307
roc_auc,37,0.95314
roc_auc,38,0.93492
roc_auc,39,0.97485
roc_auc,40,0.96803
roc_auc,41,0.92072
roc_auc,42,0.95299
roc_auc,43,0.94523
roc_auc,44,0.93369
roc_auc,45,0.96693
roc_auc,46,0.94523
roc_auc,47,0.97224
roc_auc,48,0.97711
roc_auc,49,0.94158
roc_auc,50,0.95279
roc_auc,51,0.94369
roc_auc,52,0.93529
roc_auc,53,0.9477
roc_auc,54,0.9481
roc_auc,55,0.95232
roc_auc,56,0.96598
roc_auc,57,0.91378
roc_auc,58,0.95898
roc_auc,59,0.96384
roc_auc,60,0.94933
roc_auc,61,0.93411
roc_auc,62,0.95717
roc_auc,63,0.91447
roc_auc,64,0.93647
roc_auc,65,0.97899
roc_auc,66,0.9399
roc_auc,67,0.93814
roc_auc,68,0.95715
roc_auc,69,0.9562
roc_auc,70,0.93978
roc_auc,71,0.96706
roc_auc,72,0.98165
roc_auc,73,0.92619
roc_auc,74,0.9196
roc_auc,75,0.95311
roc_auc,76,0.93203
roc_auc,77,0.9483
roc_auc,78,0.96082
roc_auc,79,0.97038
roc_auc,80,0.98498
roc_auc,81,0.9381
roc_auc,82,0.9262
roc_auc,83,0.95165
roc_auc,84,0.96716
roc_auc,85,0.97418
roc_auc,86,0.89988
roc_auc,87,0.95561
roc_auc,88,0.96575
roc_auc,89,0.94422
roc_auc,90,0.97876
roc_auc,91,0.93589
roc_auc,92,0.92143
roc_auc,93,0.93401
roc_auc,94,0.95774
roc_auc,95,0.96384
roc_auc,96,0.93617
roc_auc,97,0.95703
roc_auc,98,0.95703
roc_auc,99,0.9575
roc_auc,100,0.95083
roc_auc,101,0.93732
roc_auc,102,0.95849
roc_auc,103,0.93472
roc_auc,104,0.95086
roc_auc,105,0.98042
roc_auc,106,0.93051
roc_auc,107,0.94114
roc_auc,108,0.96899
roc_auc,109,0.95785
roc_auc,110,0.95445
roc_auc,111,0.90506
roc_auc,112,0.97232
roc_auc,113,0.92614
roc_auc,114,0.93752
roc_auc,115,0.92743
roc_auc,116,0.92707
roc_auc,117,0.95159
roc_auc,118,0.96865
roc_auc,119,0.95209
