,,GBT
nef_Ra,0,0.84
nef_Ra,1,0.78667
nef_Ra,2,0.89189
nef_Ra,3,0.86486
nef_Ra,4,0.81333
nef_Ra,5,0.86667
nef_Ra,6,0.83784
nef_Ra,7,0.87838
nef_Ra,8,0.90667
nef_Ra,9,0.85333
nef_Ra,10,0.82432
nef_Ra,11,0.83784
nef_Ra,12,0.86667
nef_Ra,13,0.85333
nef_Ra,14,0.82432
nef_Ra,15,0.83784
nef_Ra,16,0.89333
nef_Ra,17,0.8
nef_Ra,18,0.78378
nef_Ra,19,0.86486
nef_Ra,20,0.76
nef_Ra,21,0.86667
nef_Ra,22,0.89189
nef_Ra,23,0.85135
nef_Ra,24,0.85333
nef_Ra,25,0.88
nef_Ra,26,0.83784
nef_Ra,27,0.7973
nef_Ra,28,0.86667
nef_Ra,29,0.88
nef_Ra,30,0.83784
nef_Ra,31,0.82432
nef_Ra,32,0.85333
nef_Ra,33,0.85333
nef_Ra,34,0.82432
nef_Ra,35,0.86486
nef_Ra,36,0.88
nef_Ra,37,0.84
nef_Ra,38,0.86486
nef_Ra,39,0.82432
nef_Ra,40,0.92
nef_Ra,41,0.82667
nef_Ra,42,0.82432
nef_Ra,43,0.86486
nef_Ra,44,0.85333
nef_Ra,45,0.84
nef_Ra,46,0.83784
nef_Ra,47,0.85135
nef_Ra,48,0.8
nef_Ra,49,0.88
nef_Ra,50,0.86486
nef_Ra,51,0.7973
nef_Ra,52,0.85333
nef_Ra,53,0.85333
nef_Ra,54,0.81081
nef_Ra,55,0.85135
nef_Ra,56,0.88
nef_Ra,57,0.8
nef_Ra,58,0.82432
nef_Ra,59,0.86486
nef_Ra,60,0.88
nef_Ra,61,0.8
nef_Ra,62,0.91892
nef_Ra,63,0.81081
nef_Ra,64,0.82667
nef_Ra,65,0.84
nef_Ra,66,0.89189
nef_Ra,67,0.7973
nef_Ra,68,0.85333
nef_Ra,69,0.86667
nef_Ra,70,0.7973
nef_Ra,71,0.86486
nef_Ra,72,0.84
nef_Ra,73,0.88
nef_Ra,74,0.89189
nef_Ra,75,0.83784
nef_Ra,76,0.82667
nef_Ra,77,0.89333
nef_Ra,78,0.83784
nef_Ra,79,0.86486
nef_Ra,80,0.86667
nef_Ra,81,0.74667
nef_Ra,82,0.86486
nef_Ra,83,0.85135
nef_Ra,84,0.85333
nef_Ra,85,0.86667
nef_Ra,86,0.82432
nef_Ra,87,0.83784
nef_Ra,88,0.84
nef_Ra,89,0.78667
nef_Ra,90,0.91892
nef_Ra,91,0.83784
nef_Ra,92,0.85333
nef_Ra,93,0.82667
nef_Ra,94,0.87838
nef_Ra,95,0.7973
nef_Ra,96,0.85333
nef_Ra,97,0.82667
nef_Ra,98,0.85135
nef_Ra,99,0.86486
nef_Ra,100,0.86667
nef_Ra,101,0.85333
nef_Ra,102,0.81081
nef_Ra,103,0.85135
nef_Ra,104,0.88
nef_Ra,105,0.82667
nef_Ra,106,0.82432
nef_Ra,107,0.75676
nef_Ra,108,0.74667
nef_Ra,109,0.88
nef_Ra,110,0.86486
nef_Ra,111,0.89189
nef_Ra,112,0.84
nef_Ra,113,0.84
nef_Ra,114,0.89189
nef_Ra,115,0.7973
nef_Ra,116,0.89333
nef_Ra,117,0.89333
nef_Ra,118,0.82432
nef_Ra,119,0.85135
roc_auc,0,0.93589
roc_auc,1,0.94302
roc_auc,2,0.97094
roc_auc,3,0.92616
roc_auc,4,0.93432
roc_auc,5,0.97266
roc_auc,6,0.92709
roc_auc,7,0.93389
roc_auc,8,0.96243
roc_auc,9,0.94679
roc_auc,10,0.93534
roc_auc,11,0.94459
roc_auc,12,0.94939
roc_auc,13,0.95673
roc_auc,14,0.92579
roc_auc,15,0.95282
roc_auc,16,0.96625
roc_auc,17,0.93309
roc_auc,18,0.90302
roc_auc,19,0.96588
roc_auc,20,0.90853
roc_auc,21,0.96912
roc_auc,22,0.94983
roc_auc,23,0.95279
roc_auc,24,0.93911
roc_auc,25,0.96922
roc_auc,26,0.93577
roc_auc,27,0.9378
roc_auc,28,0.95603
roc_auc,29,0.94458
roc_auc,30,0.94078
roc_auc,31,0.92983
roc_auc,32,0.937
roc_auc,33,0.94436
roc_auc,34,0.94093
roc_auc,35,0.95256
roc_auc,36,0.96912
roc_auc,37,0.91338
roc_auc,38,0.94738
roc_auc,39,0.94457
roc_auc,40,0.97177
roc_auc,41,0.91985
roc_auc,42,0.94203
roc_auc,43,0.96309
roc_auc,44,0.93891
roc_auc,45,0.93227
roc_auc,46,0.96184
roc_auc,47,0.93725
roc_auc,48,0.94848
roc_auc,49,0.9567
roc_auc,50,0.93339
roc_auc,51,0.9402
roc_auc,52,0.94577
roc_auc,53,0.93462
roc_auc,54,0.9468
roc_auc,55,0.95938
roc_auc,56,0.9688
roc_auc,57,0.94382
roc_auc,58,0.94963
roc_auc,59,0.94993
roc_auc,60,0.95975
roc_auc,61,0.9262
roc_auc,62,0.98195
roc_auc,63,0.9396
roc_auc,64,0.95108
roc_auc,65,0.9375
roc_auc,66,0.9731
roc_auc,67,0.9207
roc_auc,68,0.94149
roc_auc,69,0.96615
roc_auc,70,0.93988
roc_auc,71,0.9474
roc_auc,72,0.9423
roc_auc,73,0.93705
roc_auc,74,0.96162
roc_auc,75,0.9644
roc_auc,76,0.93504
roc_auc,77,0.96857
roc_auc,78,0.94296
roc_auc,79,0.95683
roc_auc,80,0.96166
roc_auc,81,0.91896
roc_auc,82,0.96219
roc_auc,83,0.92238
roc_auc,84,0.95485
roc_auc,85,0.94838
roc_auc,86,0.92188
roc_auc,87,0.97528
roc_auc,88,0.92991
roc_auc,89,0.9377
roc_auc,90,0.97897
roc_auc,91,0.96099
roc_auc,92,0.95447
roc_auc,93,0.94778
roc_auc,94,0.95775
roc_auc,95,0.91972
roc_auc,96,0.96503
roc_auc,97,0.92533
roc_auc,98,0.94389
roc_auc,99,0.95134
roc_auc,100,0.93383
roc_auc,101,0.94503
roc_auc,102,0.92875
roc_auc,103,0.94239
roc_auc,104,0.96934
roc_auc,105,0.92813
roc_auc,106,0.95788
roc_auc,107,0.93451
roc_auc,108,0.91185
roc_auc,109,0.95242
roc_auc,110,0.96731
roc_auc,111,0.9635
roc_auc,112,0.9233
roc_auc,113,0.93727
roc_auc,114,0.97034
roc_auc,115,0.92145
roc_auc,116,0.96045
roc_auc,117,0.97276
roc_auc,118,0.93807
roc_auc,119,0.95058
