,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_64
nef_Ra,0,0.40789,0.52632,0.61842,0.56579,0.65789,0.63158,0.64474
nef_Ra,1,0.48,0.53333,0.69333,0.72,0.69333,0.69333,0.72
nef_Ra,2,0.37333,0.42667,0.54667,0.56,0.58667,0.57333,0.58667
nef_Ra,3,0.22667,0.49333,0.57333,0.58667,0.53333,0.57333,0.57333
nef_Ra,4,0.31579,0.44737,0.60526,0.63158,0.63158,0.60526,0.61842
nef_Ra,5,0.42667,0.49333,0.68,0.68,0.69333,0.72,0.72
nef_Ra,6,0.41333,0.49333,0.58667,0.56,0.68,0.62667,0.64
nef_Ra,7,0.34667,0.50667,0.58667,0.61333,0.64,0.69333,0.66667
nef_Ra,8,0.36842,0.5,0.60526,0.61842,0.57895,0.65789,0.57895
nef_Ra,9,0.4,0.53333,0.69333,0.66667,0.70667,0.69333,0.69333
nef_Ra,10,0.42667,0.50667,0.61333,0.62667,0.64,0.61333,0.64
nef_Ra,11,0.38667,0.46667,0.62667,0.64,0.64,0.65333,0.61333
nef_Ra,12,0.34211,0.47368,0.64474,0.60526,0.63158,0.63158,0.64474
nef_Ra,13,0.33333,0.48,0.56,0.57333,0.6,0.58667,0.61333
nef_Ra,14,0.33333,0.52,0.53333,0.61333,0.65333,0.64,0.61333
nef_Ra,15,0.4,0.54667,0.62667,0.61333,0.68,0.66667,0.69333
nef_Ra,16,0.39474,0.5,0.60526,0.59211,0.61842,0.61842,0.61842
nef_Ra,17,0.4,0.57333,0.66667,0.64,0.65333,0.64,0.62667
nef_Ra,18,0.36,0.45333,0.58667,0.58667,0.70667,0.65333,0.64
nef_Ra,19,0.38667,0.46667,0.57333,0.56,0.61333,0.61333,0.61333
nef_Ra,20,0.36842,0.57895,0.65789,0.63158,0.64474,0.63158,0.61842
nef_Ra,21,0.37333,0.48,0.57333,0.58667,0.58667,0.62667,0.62667
nef_Ra,22,0.38667,0.50667,0.64,0.64,0.65333,0.64,0.64
nef_Ra,23,0.41333,0.45333,0.56,0.6,0.66667,0.62667,0.61333
nef_Ra,24,0.38158,0.51316,0.57895,0.60526,0.63158,0.61842,0.67105
nef_Ra,25,0.4,0.50667,0.58667,0.6,0.54667,0.54667,0.57333
nef_Ra,26,0.38667,0.52,0.6,0.62667,0.62667,0.64,0.65333
nef_Ra,27,0.33333,0.50667,0.62667,0.61333,0.65333,0.62667,0.62667
nef_Ra,28,0.32895,0.44737,0.56579,0.56579,0.60526,0.60526,0.59211
nef_Ra,29,0.37333,0.53333,0.56,0.6,0.58667,0.58667,0.61333
nef_Ra,30,0.44,0.48,0.65333,0.62667,0.66667,0.64,0.64
nef_Ra,31,0.45333,0.61333,0.65333,0.66667,0.68,0.68,0.69333
nef_Ra,32,0.39474,0.52632,0.61842,0.64474,0.59211,0.64474,0.64474
nef_Ra,33,0.44,0.48,0.58667,0.58667,0.64,0.61333,0.6
nef_Ra,34,0.36,0.53333,0.6,0.66667,0.68,0.66667,0.65333
nef_Ra,35,0.37333,0.52,0.61333,0.61333,0.65333,0.66667,0.64
nef_Ra,36,0.40789,0.53947,0.61842,0.65789,0.64474,0.64474,0.68421
nef_Ra,37,0.36,0.44,0.57333,0.6,0.58667,0.56,0.56
nef_Ra,38,0.41333,0.50667,0.65333,0.62667,0.66667,0.68,0.68
nef_Ra,39,0.38667,0.49333,0.53333,0.54667,0.6,0.61333,0.6
nef_Ra,40,0.35526,0.44737,0.55263,0.56579,0.60526,0.59211,0.57895
nef_Ra,41,0.42667,0.61333,0.69333,0.72,0.72,0.70667,0.73333
nef_Ra,42,0.36,0.44,0.62667,0.6,0.61333,0.6,0.6
nef_Ra,43,0.4,0.50667,0.61333,0.6,0.64,0.68,0.64
nef_Ra,44,0.32895,0.48684,0.59211,0.63158,0.69737,0.65789,0.67105
nef_Ra,45,0.33333,0.46667,0.6,0.54667,0.6,0.57333,0.61333
nef_Ra,46,0.4,0.53333,0.57333,0.61333,0.62667,0.68,0.65333
nef_Ra,47,0.45333,0.45333,0.61333,0.58667,0.58667,0.64,0.65333
nef_Ra,48,0.34211,0.5,0.60526,0.61842,0.67105,0.68421,0.67105
nef_Ra,49,0.37333,0.50667,0.57333,0.58667,0.64,0.64,0.58667
nef_Ra,50,0.36,0.49333,0.56,0.58667,0.58667,0.56,0.58667
nef_Ra,51,0.41333,0.45333,0.62667,0.61333,0.65333,0.65333,0.66667
nef_Ra,52,0.34211,0.48684,0.61842,0.61842,0.67105,0.59211,0.61842
nef_Ra,53,0.49333,0.50667,0.58667,0.6,0.61333,0.61333,0.6
nef_Ra,54,0.4,0.57333,0.68,0.70667,0.70667,0.65333,0.72
nef_Ra,55,0.33333,0.48,0.57333,0.57333,0.64,0.62667,0.61333
nef_Ra,56,0.42105,0.53947,0.65789,0.65789,0.67105,0.69737,0.68421
nef_Ra,57,0.36,0.54667,0.62667,0.64,0.64,0.66667,0.69333
nef_Ra,58,0.33333,0.46667,0.54667,0.53333,0.58667,0.58667,0.61333
nef_Ra,59,0.45333,0.56,0.64,0.68,0.66667,0.66667,0.70667
nef_Ra,60,0.35526,0.46053,0.52632,0.56579,0.60526,0.59211,0.60526
nef_Ra,61,0.46667,0.53333,0.68,0.65333,0.68,0.68,0.68
nef_Ra,62,0.32,0.46667,0.61333,0.6,0.62667,0.61333,0.6
nef_Ra,63,0.50667,0.57333,0.70667,0.68,0.70667,0.70667,0.70667
nef_Ra,64,0.40789,0.40789,0.52632,0.56579,0.60526,0.63158,0.60526
nef_Ra,65,0.45333,0.56,0.64,0.62667,0.68,0.66667,0.69333
nef_Ra,66,0.4,0.49333,0.57333,0.58667,0.62667,0.62667,0.62667
nef_Ra,67,0.34667,0.57333,0.61333,0.66667,0.64,0.66667,0.69333
