,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_136
nef_Ra,0,0.21918,0.32877,0.39726,0.45205,0.43836,0.50685,0.52055,0.52055,0.61644
nef_Ra,1,0.23288,0.28767,0.36986,0.39726,0.38356,0.39726,0.52055,0.56164,0.49315
nef_Ra,2,0.28767,0.31507,0.38356,0.39726,0.49315,0.47945,0.56164,0.54795,0.54795
nef_Ra,3,0.30137,0.41096,0.34247,0.42466,0.46575,0.38356,0.49315,0.49315,0.52055
nef_Ra,4,0.26027,0.32877,0.39726,0.41096,0.42466,0.46575,0.49315,0.52055,0.56164
nef_Ra,5,0.26027,0.30137,0.38356,0.42466,0.41096,0.39726,0.52055,0.53425,0.58904
nef_Ra,6,0.21918,0.24658,0.32877,0.42466,0.39726,0.46575,0.49315,0.46575,0.57534
nef_Ra,7,0.26027,0.41096,0.42466,0.46575,0.49315,0.45205,0.45205,0.52055,0.57534
nef_Ra,8,0.24658,0.34247,0.38356,0.39726,0.47945,0.43836,0.49315,0.63014,0.60274
nef_Ra,9,0.26027,0.35616,0.35616,0.41096,0.41096,0.43836,0.50685,0.47945,0.50685
nef_Ra,10,0.21918,0.28767,0.35616,0.36986,0.38356,0.43836,0.49315,0.46575,0.52055
nef_Ra,11,0.19178,0.30137,0.35616,0.42466,0.43836,0.47945,0.50685,0.52055,0.50685
nef_Ra,12,0.24658,0.34247,0.35616,0.35616,0.42466,0.42466,0.47945,0.46575,0.54795
nef_Ra,13,0.28767,0.31507,0.31507,0.47945,0.49315,0.47945,0.50685,0.53425,0.52055
nef_Ra,14,0.23288,0.31507,0.39726,0.42466,0.50685,0.49315,0.52055,0.61644,0.64384
nef_Ra,15,0.23288,0.26027,0.32877,0.41096,0.43836,0.38356,0.43836,0.56164,0.49315
nef_Ra,16,0.20548,0.34247,0.42466,0.41096,0.47945,0.46575,0.52055,0.47945,0.54795
nef_Ra,17,0.27397,0.30137,0.39726,0.45205,0.52055,0.47945,0.47945,0.53425,0.56164
nef_Ra,18,0.20548,0.30137,0.38356,0.43836,0.46575,0.42466,0.47945,0.46575,0.58904
nef_Ra,19,0.27397,0.31507,0.39726,0.45205,0.47945,0.47945,0.53425,0.54795,0.54795
nef_Ra,20,0.21918,0.32877,0.39726,0.43836,0.45205,0.46575,0.49315,0.49315,0.54795
nef_Ra,21,0.21918,0.35616,0.39726,0.45205,0.42466,0.47945,0.53425,0.58904,0.60274
nef_Ra,22,0.24658,0.31507,0.32877,0.32877,0.38356,0.42466,0.42466,0.50685,0.53425
nef_Ra,23,0.20548,0.30137,0.36986,0.41096,0.36986,0.46575,0.46575,0.52055,0.52055
nef_Ra,24,0.23288,0.28767,0.34247,0.39726,0.36986,0.34247,0.47945,0.47945,0.56164
nef_Ra,25,0.20548,0.30137,0.36986,0.45205,0.52055,0.47945,0.54795,0.56164,0.54795
nef_Ra,26,0.28767,0.30137,0.43836,0.47945,0.52055,0.49315,0.52055,0.53425,0.57534
nef_Ra,27,0.27397,0.31507,0.38356,0.41096,0.42466,0.41096,0.49315,0.45205,0.58904
nef_Ra,28,0.26027,0.34247,0.39726,0.46575,0.42466,0.49315,0.49315,0.46575,0.56164
nef_Ra,29,0.23288,0.27397,0.32877,0.38356,0.41096,0.38356,0.45205,0.50685,0.57534
nef_Ra,30,0.24658,0.36986,0.47945,0.50685,0.53425,0.53425,0.57534,0.58904,0.61644
nef_Ra,31,0.24658,0.27397,0.39726,0.43836,0.43836,0.45205,0.49315,0.58904,0.57534
nef_Ra,32,0.23288,0.34247,0.45205,0.43836,0.43836,0.50685,0.54795,0.54795,0.58904
nef_Ra,33,0.23288,0.27397,0.38356,0.46575,0.49315,0.52055,0.52055,0.52055,0.53425
nef_Ra,34,0.26027,0.30137,0.34247,0.35616,0.34247,0.36986,0.45205,0.46575,0.46575
nef_Ra,35,0.23288,0.34247,0.41096,0.42466,0.45205,0.50685,0.49315,0.49315,0.58904
nef_Ra,36,0.34247,0.38356,0.43836,0.45205,0.52055,0.47945,0.52055,0.56164,0.56164
nef_Ra,37,0.23288,0.30137,0.41096,0.43836,0.43836,0.46575,0.50685,0.47945,0.57534
nef_Ra,38,0.24658,0.36986,0.39726,0.42466,0.42466,0.42466,0.50685,0.52055,0.60274
nef_Ra,39,0.24658,0.28767,0.35616,0.43836,0.42466,0.41096,0.52055,0.50685,0.57534
nef_Ra,40,0.20548,0.31507,0.34247,0.36986,0.41096,0.41096,0.47945,0.52055,0.49315
nef_Ra,41,0.24658,0.28767,0.39726,0.38356,0.39726,0.43836,0.50685,0.47945,0.53425
nef_Ra,42,0.24658,0.41096,0.46575,0.53425,0.54795,0.56164,0.54795,0.54795,0.63014
nef_Ra,43,0.24658,0.27397,0.38356,0.38356,0.38356,0.41096,0.47945,0.52055,0.53425
nef_Ra,44,0.12329,0.24658,0.27397,0.31507,0.38356,0.34247,0.41096,0.45205,0.43836
nef_Ra,45,0.28767,0.38356,0.42466,0.42466,0.49315,0.50685,0.54795,0.50685,0.54795
nef_Ra,46,0.39726,0.39726,0.43836,0.46575,0.47945,0.49315,0.56164,0.56164,0.61644
nef_Ra,47,0.30137,0.34247,0.36986,0.42466,0.39726,0.46575,0.50685,0.46575,0.58904
nef_Ra,48,0.31507,0.38356,0.46575,0.50685,0.50685,0.53425,0.53425,0.53425,0.56164
nef_Ra,49,0.20548,0.23288,0.26027,0.26027,0.27397,0.34247,0.43836,0.45205,0.49315
nef_Ra,50,0.21918,0.35616,0.38356,0.41096,0.39726,0.43836,0.47945,0.50685,0.57534
nef_Ra,51,0.27397,0.38356,0.39726,0.50685,0.49315,0.47945,0.50685,0.50685,0.50685
nef_Ra,52,0.27397,0.28767,0.32877,0.41096,0.39726,0.42466,0.52055,0.50685,0.50685
nef_Ra,53,0.19178,0.27397,0.39726,0.42466,0.43836,0.50685,0.47945,0.54795,0.57534
nef_Ra,54,0.30137,0.34247,0.36986,0.43836,0.46575,0.46575,0.49315,0.50685,0.56164
nef_Ra,55,0.26027,0.27397,0.38356,0.42466,0.39726,0.49315,0.47945,0.53425,0.60274
nef_Ra,56,0.26027,0.39726,0.42466,0.41096,0.39726,0.41096,0.43836,0.45205,0.52055
nef_Ra,57,0.21918,0.30137,0.38356,0.36986,0.39726,0.45205,0.45205,0.57534,0.53425
nef_Ra,58,0.32877,0.41096,0.42466,0.49315,0.50685,0.53425,0.58904,0.58904,0.58904
nef_Ra,59,0.20548,0.31507,0.38356,0.38356,0.35616,0.38356,0.45205,0.49315,0.53425
nef_Ra,60,0.26027,0.32877,0.42466,0.39726,0.42466,0.45205,0.53425,0.45205,0.56164
nef_Ra,61,0.26027,0.31507,0.39726,0.43836,0.43836,0.43836,0.47945,0.52055,0.53425
nef_Ra,62,0.27397,0.35616,0.39726,0.45205,0.45205,0.45205,0.50685,0.50685,0.54795
nef_Ra,63,0.27397,0.31507,0.39726,0.46575,0.46575,0.52055,0.53425,0.53425,0.60274
nef_Ra,64,0.27397,0.39726,0.39726,0.43836,0.47945,0.45205,0.53425,0.56164,0.61644
nef_Ra,65,0.20548,0.32877,0.34247,0.39726,0.41096,0.39726,0.41096,0.52055,0.54795
nef_Ra,66,0.24658,0.30137,0.42466,0.45205,0.45205,0.52055,0.52055,0.57534,0.54795
nef_Ra,67,0.16438,0.34247,0.35616,0.42466,0.46575,0.45205,0.50685,0.43836,0.49315
nef_Ra,68,0.27397,0.27397,0.42466,0.45205,0.46575,0.46575,0.54795,0.52055,0.54795
nef_Ra,69,0.23288,0.26027,0.32877,0.41096,0.36986,0.43836,0.47945,0.49315,0.53425
nef_Ra,70,0.19178,0.34247,0.41096,0.41096,0.47945,0.47945,0.53425,0.54795,0.58904
nef_Ra,71,0.20548,0.28767,0.43836,0.36986,0.41096,0.43836,0.43836,0.54795,0.50685
nef_Ra,72,0.31507,0.38356,0.41096,0.38356,0.39726,0.43836,0.46575,0.53425,0.56164
nef_Ra,73,0.24658,0.34247,0.41096,0.46575,0.46575,0.47945,0.50685,0.52055,0.56164
nef_Ra,74,0.26027,0.30137,0.32877,0.36986,0.39726,0.38356,0.47945,0.46575,0.52055
nef_Ra,75,0.27397,0.30137,0.43836,0.47945,0.45205,0.45205,0.49315,0.53425,0.61644
nef_Ra,76,0.28767,0.28767,0.45205,0.49315,0.47945,0.47945,0.52055,0.53425,0.53425
nef_Ra,77,0.20548,0.27397,0.28767,0.32877,0.32877,0.36986,0.46575,0.43836,0.45205
nef_Ra,78,0.27397,0.32877,0.45205,0.46575,0.46575,0.45205,0.54795,0.56164,0.61644
nef_Ra,79,0.24658,0.36986,0.45205,0.49315,0.42466,0.45205,0.50685,0.53425,0.65753
nef_Ra,80,0.21918,0.26027,0.35616,0.38356,0.43836,0.39726,0.42466,0.49315,0.47945
nef_Ra,81,0.26027,0.30137,0.39726,0.38356,0.39726,0.43836,0.42466,0.50685,0.57534
nef_Ra,82,0.27397,0.34247,0.36986,0.41096,0.43836,0.47945,0.53425,0.50685,0.58904
nef_Ra,83,0.20548,0.35616,0.52055,0.47945,0.47945,0.43836,0.53425,0.54795,0.61644
nef_Ra,84,0.26027,0.35616,0.39726,0.41096,0.39726,0.43836,0.47945,0.52055,0.56164
nef_Ra,85,0.20548,0.32877,0.35616,0.45205,0.46575,0.46575,0.58904,0.56164,0.57534
nef_Ra,86,0.24658,0.26027,0.38356,0.41096,0.46575,0.49315,0.53425,0.54795,0.54795
nef_Ra,87,0.32877,0.26027,0.31507,0.31507,0.35616,0.38356,0.36986,0.45205,0.50685
nef_Ra,88,0.21918,0.31507,0.41096,0.42466,0.41096,0.43836,0.49315,0.52055,0.56164
nef_Ra,89,0.23288,0.28767,0.31507,0.31507,0.38356,0.38356,0.45205,0.41096,0.45205
nef_Ra,90,0.21918,0.30137,0.35616,0.43836,0.47945,0.47945,0.50685,0.54795,0.56164
nef_Ra,91,0.32877,0.35616,0.43836,0.47945,0.46575,0.49315,0.54795,0.56164,0.60274
nef_Ra,92,0.17808,0.21918,0.35616,0.38356,0.36986,0.38356,0.42466,0.43836,0.46575
nef_Ra,93,0.28767,0.39726,0.43836,0.41096,0.45205,0.50685,0.52055,0.56164,0.56164
nef_Ra,94,0.24658,0.31507,0.38356,0.43836,0.43836,0.49315,0.53425,0.57534,0.60274
nef_Ra,95,0.24658,0.32877,0.34247,0.41096,0.42466,0.36986,0.50685,0.53425,0.56164
nef_Ra,96,0.23288,0.38356,0.42466,0.49315,0.54795,0.56164,0.60274,0.64384,0.65753
nef_Ra,97,0.23288,0.32877,0.42466,0.49315,0.46575,0.57534,0.57534,0.53425,0.64384
nef_Ra,98,0.26027,0.38356,0.49315,0.47945,0.52055,0.46575,0.53425,0.56164,0.63014
nef_Ra,99,0.24658,0.26027,0.26027,0.30137,0.34247,0.32877,0.38356,0.41096,0.41096
nef_Ra,100,0.21918,0.31507,0.32877,0.36986,0.41096,0.42466,0.46575,0.46575,0.49315
nef_Ra,101,0.16438,0.27397,0.36986,0.42466,0.41096,0.43836,0.45205,0.54795,0.57534
nef_Ra,102,0.21918,0.28767,0.41096,0.42466,0.45205,0.47945,0.50685,0.53425,0.56164
nef_Ra,103,0.24658,0.38356,0.38356,0.42466,0.41096,0.45205,0.47945,0.41096,0.53425
nef_Ra,104,0.24658,0.34247,0.39726,0.38356,0.43836,0.46575,0.46575,0.45205,0.52055
nef_Ra,105,0.16438,0.27397,0.41096,0.45205,0.42466,0.43836,0.47945,0.54795,0.53425
nef_Ra,106,0.31507,0.43836,0.43836,0.46575,0.49315,0.46575,0.50685,0.52055,0.60274
nef_Ra,107,0.27397,0.30137,0.34247,0.41096,0.38356,0.46575,0.49315,0.52055,0.57534
nef_Ra,108,0.26027,0.42466,0.42466,0.47945,0.45205,0.50685,0.58904,0.57534,0.56164
nef_Ra,109,0.26027,0.35616,0.35616,0.34247,0.36986,0.36986,0.45205,0.49315,0.49315
nef_Ra,110,0.31507,0.34247,0.36986,0.41096,0.47945,0.41096,0.50685,0.49315,0.50685
