,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_136
nef_Ra,0,0.32,0.36,0.33333,0.42667,0.46667,0.45333,0.45333,0.53333,0.46667
nef_Ra,1,0.41333,0.4,0.34667,0.44,0.45333,0.48,0.49333,0.52,0.49333
nef_Ra,2,0.33333,0.37333,0.33333,0.48,0.41333,0.42667,0.44,0.44,0.46667
nef_Ra,3,0.25333,0.30667,0.29333,0.36,0.36,0.33333,0.37333,0.38667,0.45333
nef_Ra,4,0.33333,0.42667,0.41333,0.45333,0.44,0.50667,0.54667,0.46667,0.58667
nef_Ra,5,0.28,0.32,0.36,0.44,0.42667,0.45333,0.4,0.48,0.46667
nef_Ra,6,0.30667,0.34667,0.38667,0.38667,0.44,0.44,0.41333,0.46667,0.41333
nef_Ra,7,0.30667,0.30667,0.30667,0.38667,0.36,0.42667,0.38667,0.4,0.44
nef_Ra,8,0.28,0.29333,0.32,0.4,0.34667,0.36,0.33333,0.42667,0.38667
nef_Ra,9,0.28,0.36,0.30667,0.45333,0.44,0.36,0.45333,0.44,0.44
nef_Ra,10,0.37333,0.36,0.4,0.49333,0.52,0.45333,0.42667,0.49333,0.50667
nef_Ra,11,0.32,0.21333,0.33333,0.36,0.41333,0.38667,0.37333,0.45333,0.42667
nef_Ra,12,0.33333,0.4,0.4,0.48,0.50667,0.48,0.46667,0.45333,0.52
nef_Ra,13,0.30667,0.37333,0.37333,0.44,0.37333,0.44,0.46667,0.44,0.41333
nef_Ra,14,0.26667,0.30667,0.22667,0.41333,0.4,0.45333,0.36,0.44,0.38667
nef_Ra,15,0.28,0.33333,0.33333,0.45333,0.41333,0.42667,0.41333,0.44,0.42667
nef_Ra,16,0.32,0.33333,0.36,0.45333,0.41333,0.42667,0.4,0.48,0.44
nef_Ra,17,0.30667,0.37333,0.29333,0.36,0.41333,0.44,0.42667,0.42667,0.42667
nef_Ra,18,0.37333,0.4,0.37333,0.49333,0.44,0.44,0.49333,0.48,0.52
nef_Ra,19,0.28,0.26667,0.28,0.41333,0.4,0.4,0.33333,0.41333,0.36
nef_Ra,20,0.24,0.32,0.29333,0.41333,0.44,0.44,0.41333,0.4,0.48
