,,GBT
nef_Ra,0,0.58333
nef_Ra,1,0.66667
nef_Ra,2,0.57534
nef_Ra,3,0.5
nef_Ra,4,0.52778
nef_Ra,5,0.55556
nef_Ra,6,0.65753
nef_Ra,7,0.59722
nef_Ra,8,0.59722
nef_Ra,9,0.58333
nef_Ra,10,0.53425
nef_Ra,11,0.59722
nef_Ra,12,0.51389
nef_Ra,13,0.55556
nef_Ra,14,0.58904
nef_Ra,15,0.61111
nef_Ra,16,0.5
nef_Ra,17,0.625
nef_Ra,18,0.60274
nef_Ra,19,0.58333
nef_Ra,20,0.61111
nef_Ra,21,0.58333
nef_Ra,22,0.57534
nef_Ra,23,0.63889
nef_Ra,24,0.54167
nef_Ra,25,0.56944
nef_Ra,26,0.61644
nef_Ra,27,0.51389
nef_Ra,28,0.625
nef_Ra,29,0.52778
nef_Ra,30,0.65753
nef_Ra,31,0.55556
nef_Ra,32,0.61111
nef_Ra,33,0.55556
nef_Ra,34,0.64384
nef_Ra,35,0.58333
nef_Ra,36,0.52778
nef_Ra,37,0.61111
nef_Ra,38,0.58904
nef_Ra,39,0.59722
nef_Ra,40,0.52778
nef_Ra,41,0.55556
nef_Ra,42,0.65753
nef_Ra,43,0.59722
nef_Ra,44,0.625
nef_Ra,45,0.55556
nef_Ra,46,0.54795
nef_Ra,47,0.59722
nef_Ra,48,0.66667
nef_Ra,49,0.56944
nef_Ra,50,0.60274
nef_Ra,51,0.61111
nef_Ra,52,0.56944
nef_Ra,53,0.54167
nef_Ra,54,0.57534
nef_Ra,55,0.56944
nef_Ra,56,0.59722
nef_Ra,57,0.61111
nef_Ra,58,0.53425
nef_Ra,59,0.59722
nef_Ra,60,0.58333
nef_Ra,61,0.61111
nef_Ra,62,0.54795
nef_Ra,63,0.51389
nef_Ra,64,0.65278
nef_Ra,65,0.58333
nef_Ra,66,0.65753
nef_Ra,67,0.58333
nef_Ra,68,0.63889
nef_Ra,69,0.54167
nef_Ra,70,0.57534
nef_Ra,71,0.58333
nef_Ra,72,0.48611
nef_Ra,73,0.65278
nef_Ra,74,0.57534
nef_Ra,75,0.56944
nef_Ra,76,0.54167
nef_Ra,77,0.625
nef_Ra,78,0.56164
nef_Ra,79,0.58333
nef_Ra,80,0.5
nef_Ra,81,0.58333
nef_Ra,82,0.63014
nef_Ra,83,0.59722
nef_Ra,84,0.56944
nef_Ra,85,0.56944
nef_Ra,86,0.54795
nef_Ra,87,0.58333
nef_Ra,88,0.58333
nef_Ra,89,0.56944
nef_Ra,90,0.61644
nef_Ra,91,0.51389
nef_Ra,92,0.65278
nef_Ra,93,0.625
nef_Ra,94,0.50685
nef_Ra,95,0.58333
nef_Ra,96,0.625
nef_Ra,97,0.59722
nef_Ra,98,0.56164
nef_Ra,99,0.56944
nef_Ra,100,0.56944
nef_Ra,101,0.63889
nef_Ra,102,0.63014
nef_Ra,103,0.59722
nef_Ra,104,0.52778
nef_Ra,105,0.68056
nef_Ra,106,0.58904
nef_Ra,107,0.61111
nef_Ra,108,0.65278
nef_Ra,109,0.55556
nef_Ra,110,0.52055
nef_Ra,111,0.61111
nef_Ra,112,0.59722
nef_Ra,113,0.63889
nef_Ra,114,0.54795
nef_Ra,115,0.56944
nef_Ra,116,0.55556
nef_Ra,117,0.58333
nef_Ra,118,0.67123
nef_Ra,119,0.52778
roc_auc,0,0.92324
roc_auc,1,0.91559
roc_auc,2,0.90255
roc_auc,3,0.90581
roc_auc,4,0.9065
roc_auc,5,0.88988
roc_auc,6,0.93334
roc_auc,7,0.92246
roc_auc,8,0.89339
roc_auc,9,0.91126
roc_auc,10,0.91529
roc_auc,11,0.91164
roc_auc,12,0.9281
roc_auc,13,0.85368
roc_auc,14,0.91689
roc_auc,15,0.92479
roc_auc,16,0.90905
roc_auc,17,0.92137
roc_auc,18,0.92492
roc_auc,19,0.90146
roc_auc,20,0.9433
roc_auc,21,0.914
roc_auc,22,0.90283
roc_auc,23,0.93132
roc_auc,24,0.9245
roc_auc,25,0.9158
roc_auc,26,0.93632
roc_auc,27,0.89809
roc_auc,28,0.89677
roc_auc,29,0.90531
roc_auc,30,0.94683
roc_auc,31,0.88147
roc_auc,32,0.93548
roc_auc,33,0.90772
roc_auc,34,0.93194
roc_auc,35,0.85876
roc_auc,36,0.89427
roc_auc,37,0.90516
roc_auc,38,0.93242
roc_auc,39,0.91952
roc_auc,40,0.90497
roc_auc,41,0.89332
roc_auc,42,0.90553
roc_auc,43,0.90655
roc_auc,44,0.93795
roc_auc,45,0.89817
roc_auc,46,0.91962
roc_auc,47,0.90416
roc_auc,48,0.91833
roc_auc,49,0.90269
roc_auc,50,0.91523
roc_auc,51,0.91994
roc_auc,52,0.90586
roc_auc,53,0.92119
roc_auc,54,0.92606
roc_auc,55,0.92647
roc_auc,56,0.94049
roc_auc,57,0.92685
roc_auc,58,0.89618
roc_auc,59,0.89879
roc_auc,60,0.93506
roc_auc,61,0.90549
roc_auc,62,0.91385
roc_auc,63,0.86435
roc_auc,64,0.90077
roc_auc,65,0.90435
roc_auc,66,0.93317
roc_auc,67,0.9329
roc_auc,68,0.93238
roc_auc,69,0.92495
roc_auc,70,0.8989
roc_auc,71,0.90227
roc_auc,72,0.89995
roc_auc,73,0.94315
roc_auc,74,0.89899
roc_auc,75,0.90977
roc_auc,76,0.9139
roc_auc,77,0.94114
roc_auc,78,0.89142
roc_auc,79,0.9106
roc_auc,80,0.88063
roc_auc,81,0.93317
roc_auc,82,0.93294
roc_auc,83,0.92337
roc_auc,84,0.91477
roc_auc,85,0.90752
roc_auc,86,0.93237
roc_auc,87,0.92692
roc_auc,88,0.88994
roc_auc,89,0.91366
roc_auc,90,0.93517
roc_auc,91,0.88035
roc_auc,92,0.91688
roc_auc,93,0.94105
roc_auc,94,0.90644
