,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_200,sample_402
nef_Ra,0,0.34821,0.39286,0.42857,0.48214,0.49107,0.54464,0.54464,0.54464,0.58929,0.59821
nef_Ra,1,0.37168,0.46903,0.48673,0.55752,0.59292,0.58407,0.57522,0.57522,0.61062,0.62832
nef_Ra,2,0.37168,0.43363,0.43363,0.46018,0.48673,0.47788,0.55752,0.56637,0.54867,0.57522
nef_Ra,3,0.45536,0.44643,0.48214,0.52679,0.50893,0.5625,0.53571,0.55357,0.58929,0.59821
nef_Ra,4,0.35714,0.39286,0.41071,0.41964,0.44643,0.48214,0.51786,0.52679,0.57143,0.58036
nef_Ra,5,0.36283,0.42478,0.46903,0.45133,0.48673,0.48673,0.55752,0.56637,0.59292,0.58407
nef_Ra,6,0.46018,0.51327,0.53982,0.54867,0.55752,0.57522,0.61062,0.60177,0.61947,0.61062
nef_Ra,7,0.4375,0.47321,0.47321,0.46429,0.53571,0.5625,0.53571,0.57143,0.60714,0.65179
nef_Ra,8,0.42857,0.4375,0.44643,0.5,0.5625,0.5625,0.57143,0.57143,0.61607,0.63393
nef_Ra,9,0.38938,0.42478,0.46018,0.50442,0.52212,0.50442,0.53982,0.53982,0.58407,0.58407
nef_Ra,10,0.36283,0.38053,0.38053,0.47788,0.48673,0.52212,0.53097,0.49558,0.53982,0.53097
nef_Ra,11,0.38393,0.38393,0.4375,0.45536,0.49107,0.5,0.52679,0.54464,0.63393,0.64286
nef_Ra,12,0.35714,0.34821,0.41071,0.41071,0.44643,0.45536,0.53571,0.51786,0.54464,0.59821
nef_Ra,13,0.38053,0.44248,0.48673,0.56637,0.54867,0.54867,0.60177,0.61062,0.63717,0.68142
nef_Ra,14,0.45133,0.41593,0.53982,0.53982,0.53097,0.54867,0.56637,0.58407,0.57522,0.61062
nef_Ra,15,0.34821,0.41964,0.5,0.51786,0.51786,0.54464,0.5625,0.58036,0.57143,0.60714
nef_Ra,16,0.41071,0.42857,0.47321,0.46429,0.5,0.50893,0.52679,0.53571,0.58036,0.57143
nef_Ra,17,0.35398,0.41593,0.46903,0.45133,0.54867,0.52212,0.49558,0.56637,0.59292,0.65487
nef_Ra,18,0.43363,0.44248,0.48673,0.48673,0.49558,0.48673,0.58407,0.51327,0.56637,0.60177
nef_Ra,19,0.41964,0.5,0.49107,0.5625,0.53571,0.54464,0.58036,0.60714,0.59821,0.64286
nef_Ra,20,0.35714,0.4375,0.49107,0.50893,0.52679,0.50893,0.58036,0.57143,0.55357,0.59821
nef_Ra,21,0.42478,0.41593,0.52212,0.45133,0.48673,0.50442,0.56637,0.55752,0.57522,0.61947
nef_Ra,22,0.29204,0.39823,0.38938,0.45133,0.46903,0.47788,0.47788,0.53982,0.54867,0.61062
nef_Ra,23,0.41071,0.50893,0.54464,0.58036,0.5625,0.60714,0.58929,0.60714,0.625,0.63393
nef_Ra,24,0.375,0.40179,0.42857,0.5,0.44643,0.49107,0.55357,0.58036,0.5,0.58929
nef_Ra,25,0.37168,0.38938,0.40708,0.49558,0.53097,0.53097,0.60177,0.49558,0.60177,0.56637
nef_Ra,26,0.30088,0.38053,0.43363,0.47788,0.50442,0.53982,0.48673,0.52212,0.53097,0.63717
nef_Ra,27,0.375,0.45536,0.5625,0.53571,0.5625,0.57143,0.625,0.59821,0.61607,0.63393
nef_Ra,28,0.34821,0.38393,0.39286,0.4375,0.42857,0.4375,0.51786,0.50893,0.53571,0.59821
nef_Ra,29,0.37168,0.40708,0.46018,0.42478,0.48673,0.52212,0.53982,0.52212,0.55752,0.61062
nef_Ra,30,0.41593,0.45133,0.48673,0.53982,0.55752,0.57522,0.59292,0.64602,0.59292,0.65487
