,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_200,sample_402
nef_Ra,0,0.43269,0.48077,0.5,0.53846,0.60577,0.5,0.56731,0.625,0.65385,0.64423
nef_Ra,1,0.40385,0.43269,0.52885,0.55769,0.51923,0.56731,0.52885,0.57692,0.61538,0.64423
nef_Ra,2,0.40385,0.42308,0.41346,0.5,0.52885,0.51923,0.55769,0.53846,0.60577,0.625
nef_Ra,3,0.37864,0.48544,0.48544,0.58252,0.54369,0.49515,0.58252,0.59223,0.58252,0.63107
nef_Ra,4,0.35577,0.42308,0.41346,0.58654,0.50962,0.50962,0.55769,0.58654,0.58654,0.63462
nef_Ra,5,0.34615,0.40385,0.46154,0.5,0.5,0.48077,0.52885,0.55769,0.53846,0.57692
nef_Ra,6,0.47115,0.49038,0.55769,0.56731,0.49038,0.57692,0.59615,0.60577,0.61538,0.66346
nef_Ra,7,0.39806,0.4466,0.50485,0.5534,0.56311,0.59223,0.58252,0.56311,0.61165,0.6699
nef_Ra,8,0.41346,0.49038,0.48077,0.56731,0.57692,0.49038,0.56731,0.58654,0.60577,0.625
nef_Ra,9,0.41346,0.46154,0.5,0.57692,0.54808,0.59615,0.55769,0.61538,0.67308,0.625
nef_Ra,10,0.42308,0.45192,0.47115,0.59615,0.56731,0.53846,0.61538,0.60577,0.60577,0.64423
nef_Ra,11,0.3301,0.40777,0.48544,0.51456,0.51456,0.49515,0.53398,0.52427,0.59223,0.57282
nef_Ra,12,0.34615,0.41346,0.41346,0.51923,0.48077,0.49038,0.54808,0.56731,0.52885,0.55769
nef_Ra,13,0.43269,0.43269,0.52885,0.57692,0.61538,0.55769,0.60577,0.63462,0.625,0.71154
nef_Ra,14,0.38462,0.46154,0.56731,0.60577,0.54808,0.55769,0.54808,0.59615,0.625,0.63462
nef_Ra,15,0.37864,0.45631,0.41748,0.52427,0.50485,0.51456,0.5534,0.53398,0.5534,0.63107
nef_Ra,16,0.38462,0.5,0.5,0.56731,0.56731,0.58654,0.57692,0.61538,0.64423,0.66346
nef_Ra,17,0.375,0.39423,0.46154,0.50962,0.50962,0.5,0.58654,0.53846,0.55769,0.56731
nef_Ra,18,0.41346,0.45192,0.50962,0.57692,0.55769,0.54808,0.57692,0.57692,0.625,0.65385
nef_Ra,19,0.3301,0.37864,0.4466,0.52427,0.53398,0.49515,0.54369,0.58252,0.58252,0.62136
nef_Ra,20,0.39423,0.35577,0.46154,0.46154,0.52885,0.5,0.52885,0.58654,0.56731,0.63462
nef_Ra,21,0.375,0.42308,0.47115,0.53846,0.59615,0.50962,0.55769,0.58654,0.64423,0.59615
nef_Ra,22,0.45192,0.48077,0.51923,0.60577,0.58654,0.53846,0.60577,0.59615,0.625,0.66346
nef_Ra,23,0.37864,0.43689,0.47573,0.51456,0.50485,0.48544,0.53398,0.54369,0.54369,0.61165
nef_Ra,24,0.43269,0.50962,0.55769,0.59615,0.56731,0.56731,0.60577,0.59615,0.625,0.63462
nef_Ra,25,0.375,0.44231,0.47115,0.50962,0.48077,0.50962,0.5,0.60577,0.53846,0.61538
nef_Ra,26,0.38462,0.49038,0.51923,0.59615,0.55769,0.57692,0.64423,0.61538,0.625,0.69231
nef_Ra,27,0.43689,0.38835,0.42718,0.56311,0.51456,0.49515,0.5534,0.49515,0.60194,0.56311
nef_Ra,28,0.40385,0.42308,0.48077,0.56731,0.50962,0.53846,0.58654,0.56731,0.60577,0.59615
nef_Ra,29,0.40385,0.44231,0.46154,0.51923,0.5,0.56731,0.48077,0.53846,0.57692,0.625
nef_Ra,30,0.45192,0.44231,0.47115,0.54808,0.57692,0.54808,0.57692,0.60577,0.61538,0.61538
nef_Ra,31,0.34951,0.4466,0.49515,0.52427,0.51456,0.49515,0.54369,0.52427,0.54369,0.5534
nef_Ra,32,0.39423,0.41346,0.39423,0.5,0.43269,0.46154,0.56731,0.57692,0.5,0.53846
nef_Ra,33,0.44231,0.47115,0.51923,0.50962,0.51923,0.54808,0.57692,0.57692,0.63462,0.67308
nef_Ra,34,0.375,0.42308,0.41346,0.49038,0.51923,0.49038,0.52885,0.57692,0.56731,0.59615
nef_Ra,35,0.42718,0.50485,0.54369,0.61165,0.62136,0.64078,0.63107,0.65049,0.69903,0.70874
nef_Ra,36,0.42308,0.375,0.5,0.55769,0.50962,0.52885,0.56731,0.59615,0.625,0.64423
nef_Ra,37,0.35577,0.47115,0.44231,0.49038,0.50962,0.47115,0.50962,0.50962,0.52885,0.57692
nef_Ra,38,0.42308,0.48077,0.50962,0.58654,0.59615,0.57692,0.57692,0.64423,0.60577,0.63462
nef_Ra,39,0.43689,0.46602,0.4466,0.53398,0.56311,0.51456,0.56311,0.57282,0.59223,0.65049
nef_Ra,40,0.42308,0.45192,0.46154,0.50962,0.53846,0.51923,0.50962,0.625,0.57692,0.58654
nef_Ra,41,0.45192,0.47115,0.53846,0.58654,0.50962,0.53846,0.56731,0.63462,0.63462,0.65385
nef_Ra,42,0.34615,0.41346,0.45192,0.57692,0.55769,0.54808,0.56731,0.57692,0.55769,0.625
nef_Ra,43,0.40777,0.4466,0.49515,0.54369,0.56311,0.58252,0.64078,0.59223,0.62136,0.60194
nef_Ra,44,0.45192,0.48077,0.48077,0.61538,0.53846,0.55769,0.59615,0.65385,0.63462,0.64423
nef_Ra,45,0.42308,0.39423,0.49038,0.56731,0.52885,0.53846,0.54808,0.55769,0.56731,0.61538
