,,GBT
nef_Ra,0,0.54667
nef_Ra,1,0.56
nef_Ra,2,0.52703
nef_Ra,3,0.48649
nef_Ra,4,0.58667
nef_Ra,5,0.54667
nef_Ra,6,0.51351
nef_Ra,7,0.48649
nef_Ra,8,0.6
nef_Ra,9,0.50667
nef_Ra,10,0.48649
nef_Ra,11,0.48649
nef_Ra,12,0.57333
nef_Ra,13,0.6
nef_Ra,14,0.51351
nef_Ra,15,0.43243
nef_Ra,16,0.54667
nef_Ra,17,0.54667
nef_Ra,18,0.41892
nef_Ra,19,0.56757
nef_Ra,20,0.48
nef_Ra,21,0.53333
nef_Ra,22,0.55405
nef_Ra,23,0.5
nef_Ra,24,0.48
nef_Ra,25,0.52
nef_Ra,26,0.5
nef_Ra,27,0.51351
nef_Ra,28,0.54667
nef_Ra,29,0.54667
nef_Ra,30,0.5
nef_Ra,31,0.5
nef_Ra,32,0.53333
nef_Ra,33,0.54667
nef_Ra,34,0.48649
nef_Ra,35,0.52703
nef_Ra,36,0.50667
nef_Ra,37,0.46667
nef_Ra,38,0.43243
nef_Ra,39,0.56757
nef_Ra,40,0.62667
nef_Ra,41,0.54667
nef_Ra,42,0.45946
nef_Ra,43,0.5
nef_Ra,44,0.46667
nef_Ra,45,0.49333
nef_Ra,46,0.55405
nef_Ra,47,0.52703
nef_Ra,48,0.56
nef_Ra,49,0.56
nef_Ra,50,0.5
nef_Ra,51,0.45946
nef_Ra,52,0.48
nef_Ra,53,0.54667
nef_Ra,54,0.55405
nef_Ra,55,0.58108
nef_Ra,56,0.50667
nef_Ra,57,0.52
nef_Ra,58,0.56757
nef_Ra,59,0.54054
nef_Ra,60,0.53333
nef_Ra,61,0.50667
nef_Ra,62,0.60811
nef_Ra,63,0.44595
nef_Ra,64,0.61333
nef_Ra,65,0.52
nef_Ra,66,0.51351
nef_Ra,67,0.45946
nef_Ra,68,0.52
nef_Ra,69,0.54667
nef_Ra,70,0.51351
nef_Ra,71,0.56757
nef_Ra,72,0.53333
nef_Ra,73,0.56
nef_Ra,74,0.59459
nef_Ra,75,0.48649
nef_Ra,76,0.52
nef_Ra,77,0.6
nef_Ra,78,0.51351
nef_Ra,79,0.54054
nef_Ra,80,0.56
nef_Ra,81,0.52
nef_Ra,82,0.51351
nef_Ra,83,0.51351
nef_Ra,84,0.50667
nef_Ra,85,0.46667
nef_Ra,86,0.56757
nef_Ra,87,0.51351
nef_Ra,88,0.48
nef_Ra,89,0.50667
nef_Ra,90,0.59459
nef_Ra,91,0.58108
nef_Ra,92,0.52
nef_Ra,93,0.56
nef_Ra,94,0.55405
nef_Ra,95,0.44595
nef_Ra,96,0.49333
nef_Ra,97,0.49333
nef_Ra,98,0.51351
nef_Ra,99,0.52703
nef_Ra,100,0.57333
nef_Ra,101,0.52
nef_Ra,102,0.45946
nef_Ra,103,0.55405
nef_Ra,104,0.46667
nef_Ra,105,0.45333
nef_Ra,106,0.54054
nef_Ra,107,0.52703
nef_Ra,108,0.48
nef_Ra,109,0.50667
nef_Ra,110,0.52703
nef_Ra,111,0.56757
nef_Ra,112,0.58667
nef_Ra,113,0.56
nef_Ra,114,0.56757
nef_Ra,115,0.47297
nef_Ra,116,0.52
nef_Ra,117,0.50667
nef_Ra,118,0.54054
nef_Ra,119,0.52703
roc_auc,0,0.86634
roc_auc,1,0.84917
roc_auc,2,0.80324
roc_auc,3,0.81008
roc_auc,4,0.88067
roc_auc,5,0.84511
roc_auc,6,0.80657
roc_auc,7,0.81224
roc_auc,8,0.85641
roc_auc,9,0.84501
roc_auc,10,0.7812
roc_auc,11,0.83691
roc_auc,12,0.84084
roc_auc,13,0.87646
roc_auc,14,0.82756
roc_auc,15,0.79304
roc_auc,16,0.83931
roc_auc,17,0.83209
roc_auc,18,0.7891
roc_auc,19,0.87878
roc_auc,20,0.7889
roc_auc,21,0.82072
roc_auc,22,0.85165
roc_auc,23,0.81838
roc_auc,24,0.79264
roc_auc,25,0.857
roc_auc,26,0.80374
roc_auc,27,0.82944
roc_auc,28,0.82726
roc_auc,29,0.84632
roc_auc,30,0.79865
roc_auc,31,0.79582
roc_auc,32,0.84243
roc_auc,33,0.82647
roc_auc,34,0.82061
roc_auc,35,0.84538
roc_auc,36,0.82124
roc_auc,37,0.834
roc_auc,38,0.76358
roc_auc,39,0.8525
roc_auc,40,0.84121
roc_auc,41,0.83618
roc_auc,42,0.80835
roc_auc,43,0.8144
roc_auc,44,0.79358
roc_auc,45,0.89197
roc_auc,46,0.87264
roc_auc,47,0.78764
roc_auc,48,0.85455
roc_auc,49,0.83537
roc_auc,50,0.79439
roc_auc,51,0.82711
roc_auc,52,0.83646
roc_auc,53,0.83415
roc_auc,54,0.85474
roc_auc,55,0.84416
roc_auc,56,0.81432
roc_auc,57,0.82359
roc_auc,58,0.84752
roc_auc,59,0.83912
roc_auc,60,0.84704
roc_auc,61,0.82233
roc_auc,62,0.86928
roc_auc,63,0.82706
roc_auc,64,0.86015
roc_auc,65,0.82473
roc_auc,66,0.83914
roc_auc,67,0.82666
roc_auc,68,0.83693
roc_auc,69,0.83078
roc_auc,70,0.83448
roc_auc,71,0.85732
roc_auc,72,0.84518
roc_auc,73,0.84119
roc_auc,74,0.84062
roc_auc,75,0.82821
roc_auc,76,0.82538
roc_auc,77,0.8372
roc_auc,78,0.81813
roc_auc,79,0.84857
roc_auc,80,0.7997
roc_auc,81,0.81988
roc_auc,82,0.84654
roc_auc,83,0.82177
roc_auc,84,0.85953
roc_auc,85,0.83286
roc_auc,86,0.85784
roc_auc,87,0.7995
roc_auc,88,0.78771
roc_auc,89,0.80439
roc_auc,90,0.84812
roc_auc,91,0.86103
roc_auc,92,0.8491
roc_auc,93,0.8203
roc_auc,94,0.86507
roc_auc,95,0.79655
roc_auc,96,0.80092
roc_auc,97,0.82394
roc_auc,98,0.85398
roc_auc,99,0.85245
roc_auc,100,0.8175
roc_auc,101,0.79403
roc_auc,102,0.82172
roc_auc,103,0.83836
roc_auc,104,0.83752
roc_auc,105,0.78706
roc_auc,106,0.82874
roc_auc,107,0.8334
roc_auc,108,0.81373
roc_auc,109,0.80525
roc_auc,110,0.8502
roc_auc,111,0.82919
roc_auc,112,0.82828
roc_auc,113,0.84659
roc_auc,114,0.85243
roc_auc,115,0.80256
roc_auc,116,0.84441
roc_auc,117,0.82015
roc_auc,118,0.81374
roc_auc,119,0.86659
