,,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
nef_Ra,0,0.20909,0.20909,0.26364,0.44545,0.55455,0.72727,0.78182,0.78182,0.8,0.8,0.8
nef_Ra,1,0.19091,0.20909,0.28182,0.39091,0.52727,0.59091,0.66364,0.65455,0.69091,0.70909,0.70909
nef_Ra,2,0.1982,0.21622,0.36937,0.44144,0.66667,0.74775,0.76577,0.77477,0.77477,0.75676,0.76577
nef_Ra,3,0.23423,0.22523,0.33333,0.40541,0.53153,0.7027,0.7027,0.71171,0.71171,0.72072,0.72072
nef_Ra,4,0.2,0.21818,0.32727,0.47273,0.60909,0.74545,0.75455,0.74545,0.74545,0.74545,0.76364
nef_Ra,5,0.28182,0.22727,0.35455,0.43636,0.63636,0.73636,0.73636,0.76364,0.78182,0.78182,0.76364
nef_Ra,6,0.18919,0.16216,0.31532,0.41441,0.54054,0.63964,0.7027,0.68468,0.69369,0.71171,0.68468
nef_Ra,7,0.18018,0.18919,0.28829,0.42342,0.62162,0.69369,0.72973,0.75676,0.76577,0.75676,0.75676
nef_Ra,8,0.24545,0.25455,0.31818,0.46364,0.60909,0.7,0.71818,0.71818,0.72727,0.72727,0.73636
nef_Ra,9,0.22727,0.25455,0.32727,0.42727,0.58182,0.71818,0.72727,0.72727,0.74545,0.76364,0.73636
nef_Ra,10,0.18919,0.1982,0.30631,0.42342,0.55856,0.66667,0.7027,0.72072,0.7027,0.71171,0.66667
nef_Ra,11,0.23423,0.25225,0.35135,0.43243,0.56757,0.71171,0.75676,0.75676,0.76577,0.79279,0.78378
nef_Ra,12,0.20909,0.22727,0.31818,0.48182,0.54545,0.65455,0.69091,0.69091,0.70909,0.7,0.7
nef_Ra,13,0.23636,0.21818,0.32727,0.39091,0.62727,0.68182,0.70909,0.70909,0.70909,0.70909,0.71818
nef_Ra,14,0.15315,0.20721,0.32432,0.3964,0.6036,0.72072,0.77477,0.75676,0.76577,0.77477,0.77477
nef_Ra,15,0.20721,0.17117,0.28829,0.3964,0.57658,0.72072,0.74775,0.76577,0.75676,0.76577,0.76577
nef_Ra,16,0.2,0.24545,0.34545,0.41818,0.63636,0.73636,0.73636,0.75455,0.75455,0.74545,0.74545
nef_Ra,17,0.23636,0.20909,0.32727,0.42727,0.56364,0.69091,0.72727,0.72727,0.73636,0.73636,0.73636
nef_Ra,18,0.24324,0.18018,0.27928,0.43243,0.56757,0.72072,0.74775,0.75676,0.76577,0.76577,0.78378
nef_Ra,19,0.21622,0.17117,0.31532,0.41441,0.56757,0.69369,0.72072,0.72973,0.7027,0.73874,0.69369
nef_Ra,20,0.15455,0.16364,0.33636,0.38182,0.58182,0.69091,0.73636,0.76364,0.77273,0.8,0.77273
nef_Ra,21,0.23636,0.2,0.31818,0.45455,0.56364,0.70909,0.7,0.70909,0.73636,0.72727,0.71818
nef_Ra,22,0.20721,0.20721,0.2973,0.3964,0.58559,0.7027,0.72973,0.72973,0.74775,0.72973,0.75676
