,,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
nef_Ra,0,0.14865,0.48649,0.72973,0.82432,0.7973,0.83784,0.86486,0.83784,0.86486,0.86486,0.82432
nef_Ra,1,0.21622,0.35135,0.59459,0.81081,0.81081,0.83784,0.81081,0.82432,0.83784,0.83784,0.82432
nef_Ra,2,0.16,0.45333,0.70667,0.82667,0.81333,0.84,0.84,0.84,0.82667,0.84,0.84
nef_Ra,3,0.21333,0.38667,0.64,0.8,0.8,0.78667,0.81333,0.81333,0.82667,0.81333,0.85333
nef_Ra,4,0.21622,0.45946,0.71622,0.86486,0.86486,0.89189,0.89189,0.89189,0.89189,0.89189,0.90541
nef_Ra,5,0.16216,0.43243,0.56757,0.7027,0.74324,0.75676,0.77027,0.75676,0.78378,0.78378,0.77027
nef_Ra,6,0.18667,0.4,0.70667,0.76,0.77333,0.78667,0.81333,0.81333,0.81333,0.81333,0.81333
nef_Ra,7,0.21333,0.41333,0.65333,0.86667,0.85333,0.88,0.88,0.85333,0.88,0.88,0.89333
nef_Ra,8,0.16216,0.41892,0.63514,0.81081,0.81081,0.7973,0.82432,0.83784,0.82432,0.83784,0.85135
nef_Ra,9,0.13514,0.39189,0.67568,0.85135,0.86486,0.87838,0.89189,0.87838,0.87838,0.89189,0.89189
nef_Ra,10,0.16,0.37333,0.68,0.76,0.76,0.78667,0.81333,0.8,0.78667,0.82667,0.8
nef_Ra,11,0.24,0.45333,0.70667,0.81333,0.8,0.82667,0.84,0.84,0.85333,0.82667,0.86667
nef_Ra,12,0.18919,0.36486,0.63514,0.74324,0.75676,0.77027,0.78378,0.77027,0.77027,0.77027,0.77027
nef_Ra,13,0.16216,0.39189,0.64865,0.83784,0.83784,0.87838,0.89189,0.87838,0.89189,0.90541,0.86486
nef_Ra,14,0.17333,0.4,0.65333,0.84,0.84,0.88,0.88,0.88,0.90667,0.89333,0.90667
nef_Ra,15,0.18667,0.45333,0.65333,0.77333,0.77333,0.81333,0.82667,0.81333,0.85333,0.82667,0.85333
nef_Ra,16,0.13514,0.5,0.66216,0.82432,0.85135,0.85135,0.85135,0.83784,0.86486,0.85135,0.86486
nef_Ra,17,0.21622,0.48649,0.63514,0.7973,0.78378,0.81081,0.85135,0.85135,0.82432,0.83784,0.85135
nef_Ra,18,0.21333,0.50667,0.66667,0.8,0.8,0.81333,0.82667,0.82667,0.84,0.85333,0.85333
nef_Ra,19,0.13333,0.42667,0.64,0.84,0.85333,0.85333,0.85333,0.85333,0.85333,0.84,0.85333
nef_Ra,20,0.12162,0.39189,0.62162,0.85135,0.85135,0.86486,0.86486,0.87838,0.89189,0.87838,0.87838
nef_Ra,21,0.10811,0.40541,0.71622,0.87838,0.86486,0.87838,0.89189,0.90541,0.89189,0.90541,0.89189
nef_Ra,22,0.13333,0.4,0.66667,0.74667,0.76,0.77333,0.74667,0.73333,0.74667,0.77333,0.76
nef_Ra,23,0.21333,0.45333,0.66667,0.82667,0.82667,0.85333,0.85333,0.85333,0.85333,0.85333,0.86667
nef_Ra,24,0.10811,0.48649,0.66216,0.85135,0.82432,0.87838,0.89189,0.87838,0.87838,0.87838,0.86486
nef_Ra,25,0.16216,0.36486,0.66216,0.87838,0.87838,0.90541,0.89189,0.90541,0.90541,0.90541,0.90541
nef_Ra,26,0.18667,0.50667,0.65333,0.81333,0.81333,0.82667,0.81333,0.82667,0.82667,0.82667,0.84
nef_Ra,27,0.21333,0.44,0.64,0.76,0.8,0.8,0.78667,0.76,0.77333,0.8,0.78667
nef_Ra,28,0.2027,0.44595,0.58108,0.75676,0.74324,0.77027,0.78378,0.78378,0.77027,0.78378,0.78378
nef_Ra,29,0.14865,0.47297,0.62162,0.82432,0.83784,0.83784,0.85135,0.85135,0.85135,0.83784,0.83784
nef_Ra,30,0.22667,0.36,0.58667,0.81333,0.81333,0.82667,0.85333,0.86667,0.86667,0.86667,0.86667
nef_Ra,31,0.2,0.44,0.73333,0.85333,0.86667,0.86667,0.88,0.86667,0.88,0.89333,0.89333
nef_Ra,32,0.16216,0.37838,0.64865,0.81081,0.81081,0.82432,0.83784,0.83784,0.83784,0.83784,0.85135
nef_Ra,33,0.21622,0.5,0.68919,0.7973,0.82432,0.85135,0.85135,0.85135,0.85135,0.83784,0.85135
nef_Ra,34,0.18667,0.48,0.73333,0.82667,0.85333,0.85333,0.85333,0.86667,0.86667,0.86667,0.86667
nef_Ra,35,0.18667,0.45333,0.69333,0.84,0.84,0.85333,0.85333,0.86667,0.86667,0.86667,0.86667
nef_Ra,36,0.14865,0.44595,0.68919,0.82432,0.82432,0.85135,0.86486,0.86486,0.85135,0.85135,0.85135
nef_Ra,37,0.16216,0.5,0.60811,0.81081,0.83784,0.86486,0.85135,0.85135,0.86486,0.86486,0.85135
nef_Ra,38,0.13333,0.41333,0.68,0.77333,0.81333,0.8,0.81333,0.8,0.81333,0.81333,0.82667
nef_Ra,39,0.24,0.48,0.70667,0.86667,0.84,0.89333,0.89333,0.90667,0.89333,0.90667,0.90667
nef_Ra,40,0.2027,0.43243,0.71622,0.85135,0.86486,0.89189,0.87838,0.87838,0.86486,0.87838,0.86486
nef_Ra,41,0.16216,0.39189,0.59459,0.78378,0.7973,0.82432,0.82432,0.83784,0.82432,0.81081,0.81081
nef_Ra,42,0.21333,0.42667,0.66667,0.74667,0.76,0.81333,0.8,0.81333,0.8,0.84,0.82667
nef_Ra,43,0.16,0.38667,0.64,0.82667,0.82667,0.84,0.84,0.84,0.84,0.85333,0.84
nef_Ra,44,0.14865,0.36486,0.66216,0.72973,0.74324,0.78378,0.78378,0.75676,0.77027,0.77027,0.78378
nef_Ra,45,0.18919,0.45946,0.7027,0.87838,0.87838,0.87838,0.89189,0.87838,0.87838,0.87838,0.87838
nef_Ra,46,0.08,0.38667,0.62667,0.84,0.84,0.84,0.84,0.84,0.84,0.86667,0.86667
nef_Ra,47,0.25333,0.37333,0.62667,0.84,0.81333,0.84,0.84,0.88,0.85333,0.89333,0.88
nef_Ra,48,0.22973,0.43243,0.7027,0.87838,0.87838,0.91892,0.90541,0.91892,0.90541,0.89189,0.90541
nef_Ra,49,0.18919,0.44595,0.63514,0.81081,0.7973,0.81081,0.7973,0.83784,0.81081,0.82432,0.81081
nef_Ra,50,0.18667,0.49333,0.70667,0.84,0.85333,0.84,0.86667,0.84,0.86667,0.88,0.85333
nef_Ra,51,0.16,0.41333,0.66667,0.81333,0.82667,0.8,0.82667,0.82667,0.82667,0.82667,0.82667
nef_Ra,52,0.13514,0.39189,0.62162,0.78378,0.7973,0.81081,0.81081,0.81081,0.81081,0.81081,0.81081
nef_Ra,53,0.13514,0.43243,0.62162,0.7973,0.77027,0.82432,0.7973,0.81081,0.82432,0.82432,0.83784
nef_Ra,54,0.17333,0.46667,0.68,0.74667,0.77333,0.8,0.82667,0.81333,0.81333,0.81333,0.82667
nef_Ra,55,0.18667,0.36,0.66667,0.85333,0.85333,0.86667,0.86667,0.86667,0.86667,0.88,0.86667
nef_Ra,56,0.13514,0.47297,0.63514,0.86486,0.85135,0.87838,0.87838,0.87838,0.85135,0.89189,0.87838
nef_Ra,57,0.16216,0.40541,0.63514,0.74324,0.75676,0.77027,0.75676,0.75676,0.77027,0.77027,0.78378
nef_Ra,58,0.18667,0.45333,0.72,0.84,0.84,0.88,0.86667,0.88,0.90667,0.90667,0.90667
nef_Ra,59,0.24,0.42667,0.69333,0.8,0.82667,0.82667,0.82667,0.85333,0.84,0.85333,0.88
nef_Ra,60,0.2027,0.35135,0.59459,0.82432,0.85135,0.85135,0.85135,0.87838,0.85135,0.86486,0.86486
nef_Ra,61,0.13514,0.39189,0.63514,0.7973,0.81081,0.82432,0.83784,0.83784,0.83784,0.83784,0.83784
nef_Ra,62,0.18667,0.42667,0.70667,0.84,0.84,0.85333,0.85333,0.85333,0.85333,0.85333,0.85333
nef_Ra,63,0.25333,0.52,0.74667,0.77333,0.78667,0.81333,0.81333,0.81333,0.81333,0.81333,0.81333
nef_Ra,64,0.27027,0.43243,0.66216,0.75676,0.7973,0.7973,0.7973,0.81081,0.81081,0.81081,0.83784
nef_Ra,65,0.18919,0.41892,0.68919,0.89189,0.87838,0.91892,0.91892,0.91892,0.90541,0.91892,0.90541
nef_Ra,66,0.18667,0.44,0.65333,0.78667,0.82667,0.81333,0.81333,0.8,0.8,0.81333,0.82667
nef_Ra,67,0.14667,0.48,0.72,0.84,0.85333,0.86667,0.85333,0.86667,0.84,0.85333,0.86667
nef_Ra,68,0.22973,0.45946,0.7027,0.81081,0.81081,0.83784,0.83784,0.85135,0.82432,0.83784,0.86486
nef_Ra,69,0.18919,0.41892,0.64865,0.81081,0.83784,0.83784,0.85135,0.85135,0.85135,0.85135,0.85135
nef_Ra,70,0.17333,0.38667,0.61333,0.77333,0.78667,0.84,0.85333,0.85333,0.84,0.85333,0.84
nef_Ra,71,0.18667,0.44,0.66667,0.85333,0.82667,0.85333,0.82667,0.82667,0.82667,0.85333,0.85333
nef_Ra,72,0.10811,0.47297,0.75676,0.89189,0.87838,0.89189,0.91892,0.90541,0.91892,0.90541,0.91892
nef_Ra,73,0.17568,0.40541,0.60811,0.75676,0.7973,0.81081,0.7973,0.78378,0.78378,0.7973,0.7973
nef_Ra,74,0.2,0.4,0.54667,0.76,0.78667,0.78667,0.8,0.8,0.8,0.8,0.81333
nef_Ra,75,0.22667,0.45333,0.69333,0.8,0.8,0.8,0.82667,0.81333,0.81333,0.82667,0.84
nef_Ra,76,0.21622,0.45946,0.7027,0.81081,0.81081,0.82432,0.82432,0.83784,0.86486,0.83784,0.83784
nef_Ra,77,0.17568,0.41892,0.60811,0.7973,0.7973,0.82432,0.82432,0.83784,0.83784,0.82432,0.82432
nef_Ra,78,0.14667,0.44,0.64,0.84,0.85333,0.86667,0.86667,0.88,0.88,0.85333,0.86667
nef_Ra,79,0.21333,0.45333,0.66667,0.8,0.81333,0.82667,0.85333,0.84,0.85333,0.86667,0.88
nef_Ra,80,0.13514,0.45946,0.66216,0.78378,0.81081,0.83784,0.86486,0.86486,0.87838,0.87838,0.89189
nef_Ra,81,0.17568,0.41892,0.66216,0.85135,0.86486,0.86486,0.85135,0.85135,0.86486,0.86486,0.86486
