,,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
nef_Ra,0,0.14865,0.18919,0.5,0.78378,0.77027,0.78378,0.81081,0.81081,0.82432,0.81081,0.81081
nef_Ra,1,0.21622,0.21622,0.51351,0.77027,0.78378,0.75676,0.78378,0.7973,0.78378,0.81081,0.81081
nef_Ra,2,0.16,0.28,0.46667,0.76,0.77333,0.8,0.77333,0.78667,0.8,0.8,0.81333
nef_Ra,3,0.21333,0.32,0.45333,0.77333,0.77333,0.76,0.77333,0.78667,0.78667,0.78667,0.78667
nef_Ra,4,0.21622,0.33784,0.52703,0.78378,0.77027,0.81081,0.82432,0.82432,0.82432,0.81081,0.83784
nef_Ra,5,0.16216,0.2973,0.43243,0.7027,0.7027,0.72973,0.71622,0.71622,0.72973,0.72973,0.72973
nef_Ra,6,0.18667,0.21333,0.46667,0.73333,0.73333,0.73333,0.77333,0.76,0.77333,0.76,0.76
nef_Ra,7,0.21333,0.21333,0.53333,0.85333,0.86667,0.85333,0.85333,0.85333,0.85333,0.85333,0.86667
nef_Ra,8,0.16216,0.17568,0.52703,0.78378,0.78378,0.7973,0.81081,0.82432,0.7973,0.81081,0.7973
nef_Ra,9,0.13514,0.18919,0.51351,0.77027,0.7973,0.7973,0.83784,0.85135,0.83784,0.83784,0.83784
nef_Ra,10,0.16,0.17333,0.48,0.74667,0.74667,0.74667,0.73333,0.74667,0.76,0.76,0.76
nef_Ra,11,0.24,0.24,0.48,0.76,0.76,0.78667,0.77333,0.78667,0.8,0.78667,0.81333
nef_Ra,12,0.18919,0.21622,0.45946,0.68919,0.68919,0.68919,0.72973,0.71622,0.7027,0.72973,0.7027
nef_Ra,13,0.16216,0.24324,0.55405,0.7973,0.7973,0.85135,0.82432,0.83784,0.85135,0.83784,0.85135
nef_Ra,14,0.17333,0.2,0.50667,0.8,0.81333,0.81333,0.82667,0.84,0.82667,0.82667,0.84
nef_Ra,15,0.18667,0.25333,0.49333,0.74667,0.76,0.74667,0.74667,0.74667,0.74667,0.77333,0.77333
nef_Ra,16,0.13514,0.2027,0.52703,0.72973,0.75676,0.78378,0.7973,0.82432,0.82432,0.78378,0.81081
nef_Ra,17,0.21622,0.24324,0.43243,0.72973,0.72973,0.75676,0.77027,0.78378,0.77027,0.78378,0.78378
nef_Ra,18,0.21333,0.25333,0.54667,0.77333,0.78667,0.8,0.8,0.81333,0.81333,0.81333,0.82667
nef_Ra,19,0.13333,0.17333,0.52,0.77333,0.76,0.78667,0.8,0.78667,0.78667,0.8,0.8
nef_Ra,20,0.12162,0.16216,0.41892,0.7973,0.7973,0.82432,0.82432,0.86486,0.85135,0.83784,0.82432
nef_Ra,21,0.10811,0.25676,0.48649,0.74324,0.71622,0.75676,0.78378,0.77027,0.78378,0.81081,0.82432
nef_Ra,22,0.13333,0.24,0.48,0.70667,0.70667,0.69333,0.69333,0.70667,0.70667,0.70667,0.70667
nef_Ra,23,0.21333,0.25333,0.49333,0.77333,0.8,0.81333,0.8,0.82667,0.82667,0.81333,0.82667
nef_Ra,24,0.10811,0.24324,0.44595,0.77027,0.77027,0.78378,0.78378,0.78378,0.7973,0.7973,0.7973
nef_Ra,25,0.16216,0.22973,0.54054,0.83784,0.86486,0.87838,0.87838,0.89189,0.89189,0.89189,0.89189
nef_Ra,26,0.18667,0.26667,0.45333,0.77333,0.77333,0.77333,0.78667,0.82667,0.78667,0.82667,0.77333
nef_Ra,27,0.21333,0.2,0.42667,0.66667,0.66667,0.69333,0.68,0.72,0.70667,0.72,0.69333
nef_Ra,28,0.2027,0.25676,0.44595,0.7027,0.71622,0.71622,0.68919,0.68919,0.68919,0.68919,0.68919
