,,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
nef_Ra,0,0.18056,0.33333,0.5,0.58333,0.59722,0.59722,0.56944,0.59722,0.56944,0.54167,0.58333
nef_Ra,1,0.13889,0.30556,0.51389,0.56944,0.59722,0.58333,0.625,0.63889,0.58333,0.61111,0.63889
nef_Ra,2,0.23288,0.28767,0.45205,0.52055,0.57534,0.53425,0.52055,0.53425,0.56164,0.54795,0.54795
nef_Ra,3,0.11111,0.25,0.41667,0.5,0.51389,0.5,0.5,0.54167,0.52778,0.54167,0.52778
nef_Ra,4,0.08333,0.30556,0.45833,0.52778,0.48611,0.5,0.54167,0.52778,0.54167,0.52778,0.55556
nef_Ra,5,0.18056,0.30556,0.43056,0.48611,0.51389,0.54167,0.52778,0.58333,0.56944,0.55556,0.54167
nef_Ra,6,0.17808,0.34247,0.53425,0.61644,0.64384,0.61644,0.61644,0.63014,0.65753,0.61644,0.61644
nef_Ra,7,0.09722,0.30556,0.48611,0.55556,0.58333,0.61111,0.58333,0.59722,0.58333,0.61111,0.59722
nef_Ra,8,0.11111,0.33333,0.52778,0.51389,0.55556,0.59722,0.56944,0.56944,0.59722,0.58333,0.59722
nef_Ra,9,0.16667,0.33333,0.44444,0.48611,0.51389,0.51389,0.52778,0.54167,0.54167,0.55556,0.58333
nef_Ra,10,0.20548,0.32877,0.52055,0.53425,0.49315,0.53425,0.56164,0.57534,0.56164,0.56164,0.54795
nef_Ra,11,0.16667,0.29167,0.52778,0.625,0.61111,0.59722,0.61111,0.61111,0.61111,0.56944,0.63889
nef_Ra,12,0.13889,0.375,0.51389,0.61111,0.59722,0.59722,0.59722,0.58333,0.56944,0.58333,0.55556
nef_Ra,13,0.13889,0.22222,0.45833,0.5,0.51389,0.55556,0.56944,0.56944,0.56944,0.56944,0.59722
nef_Ra,14,0.16438,0.35616,0.49315,0.52055,0.56164,0.61644,0.54795,0.57534,0.58904,0.60274,0.61644
nef_Ra,15,0.15278,0.27778,0.52778,0.54167,0.52778,0.54167,0.56944,0.61111,0.625,0.61111,0.61111
nef_Ra,16,0.18056,0.27778,0.47222,0.51389,0.55556,0.52778,0.51389,0.55556,0.54167,0.48611,0.5
nef_Ra,17,0.16667,0.31944,0.5,0.55556,0.58333,0.625,0.61111,0.61111,0.56944,0.61111,0.58333
nef_Ra,18,0.12329,0.31507,0.52055,0.56164,0.57534,0.60274,0.61644,0.61644,0.61644,0.61644,0.61644
nef_Ra,19,0.16667,0.29167,0.47222,0.52778,0.52778,0.59722,0.54167,0.56944,0.59722,0.58333,0.625
nef_Ra,20,0.13889,0.34722,0.51389,0.625,0.55556,0.56944,0.54167,0.59722,0.59722,0.56944,0.58333
nef_Ra,21,0.125,0.33333,0.48611,0.55556,0.52778,0.56944,0.55556,0.55556,0.51389,0.54167,0.54167
nef_Ra,22,0.13699,0.35616,0.47945,0.49315,0.54795,0.54795,0.54795,0.54795,0.58904,0.57534,0.56164
nef_Ra,23,0.18056,0.31944,0.54167,0.61111,0.65278,0.63889,0.68056,0.66667,0.66667,0.625,0.65278
nef_Ra,24,0.13889,0.25,0.44444,0.45833,0.52778,0.54167,0.52778,0.54167,0.51389,0.54167,0.54167
nef_Ra,25,0.19444,0.25,0.5,0.56944,0.56944,0.54167,0.55556,0.58333,0.55556,0.56944,0.58333
nef_Ra,26,0.19178,0.24658,0.46575,0.53425,0.57534,0.63014,0.63014,0.60274,0.58904,0.60274,0.64384
nef_Ra,27,0.125,0.33333,0.47222,0.58333,0.55556,0.58333,0.54167,0.51389,0.5,0.52778,0.51389
nef_Ra,28,0.13889,0.34722,0.44444,0.54167,0.54167,0.58333,0.58333,0.56944,0.58333,0.59722,0.625
nef_Ra,29,0.15278,0.26389,0.47222,0.48611,0.5,0.48611,0.51389,0.5,0.56944,0.5,0.58333
nef_Ra,30,0.10959,0.38356,0.54795,0.58904,0.58904,0.61644,0.61644,0.63014,0.65753,0.61644,0.64384
nef_Ra,31,0.16667,0.27778,0.45833,0.48611,0.54167,0.51389,0.47222,0.51389,0.51389,0.52778,0.54167
nef_Ra,32,0.18056,0.29167,0.48611,0.52778,0.55556,0.58333,0.55556,0.61111,0.56944,0.58333,0.61111
nef_Ra,33,0.125,0.36111,0.44444,0.51389,0.54167,0.52778,0.5,0.52778,0.54167,0.56944,0.55556
nef_Ra,34,0.13699,0.34247,0.49315,0.58904,0.61644,0.64384,0.64384,0.64384,0.64384,0.65753,0.68493
nef_Ra,35,0.13889,0.30556,0.52778,0.58333,0.58333,0.58333,0.59722,0.59722,0.55556,0.58333,0.56944
nef_Ra,36,0.15278,0.33333,0.44444,0.47222,0.47222,0.48611,0.48611,0.45833,0.52778,0.55556,0.51389
nef_Ra,37,0.19444,0.34722,0.56944,0.55556,0.55556,0.625,0.625,0.63889,0.58333,0.61111,0.59722
nef_Ra,38,0.12329,0.30137,0.46575,0.54795,0.54795,0.54795,0.58904,0.54795,0.58904,0.57534,0.56164
nef_Ra,39,0.15278,0.25,0.45833,0.61111,0.59722,0.58333,0.56944,0.59722,0.61111,0.58333,0.61111
nef_Ra,40,0.11111,0.31944,0.51389,0.51389,0.5,0.48611,0.48611,0.48611,0.52778,0.54167,0.52778
nef_Ra,41,0.13889,0.20833,0.5,0.5,0.56944,0.54167,0.52778,0.56944,0.54167,0.56944,0.52778
nef_Ra,42,0.12329,0.31507,0.49315,0.60274,0.61644,0.64384,0.63014,0.65753,0.64384,0.65753,0.64384
nef_Ra,43,0.18056,0.29167,0.48611,0.51389,0.56944,0.58333,0.55556,0.61111,0.625,0.625,0.70833
nef_Ra,44,0.19444,0.30556,0.54167,0.59722,0.66667,0.625,0.63889,0.625,0.65278,0.625,0.63889
nef_Ra,45,0.22222,0.25,0.51389,0.51389,0.52778,0.55556,0.55556,0.58333,0.54167,0.52778,0.52778
nef_Ra,46,0.17808,0.28767,0.45205,0.47945,0.54795,0.56164,0.50685,0.53425,0.56164,0.52055,0.56164
nef_Ra,47,0.11111,0.29167,0.5,0.5,0.54167,0.54167,0.52778,0.58333,0.54167,0.56944,0.59722
nef_Ra,48,0.125,0.30556,0.51389,0.625,0.625,0.63889,0.65278,0.66667,0.65278,0.59722,0.66667
nef_Ra,49,0.15278,0.30556,0.47222,0.58333,0.54167,0.55556,0.52778,0.55556,0.51389,0.55556,0.56944
nef_Ra,50,0.16438,0.36986,0.46575,0.52055,0.54795,0.53425,0.53425,0.54795,0.56164,0.63014,0.57534
nef_Ra,51,0.18056,0.34722,0.51389,0.5,0.55556,0.59722,0.55556,0.56944,0.59722,0.58333,0.61111
nef_Ra,52,0.13889,0.23611,0.47222,0.56944,0.54167,0.58333,0.58333,0.58333,0.56944,0.56944,0.52778
nef_Ra,53,0.18056,0.31944,0.51389,0.51389,0.52778,0.51389,0.52778,0.51389,0.45833,0.5,0.56944
nef_Ra,54,0.10959,0.38356,0.47945,0.52055,0.50685,0.57534,0.61644,0.58904,0.58904,0.61644,0.63014
nef_Ra,55,0.22222,0.29167,0.51389,0.52778,0.58333,0.59722,0.55556,0.58333,0.56944,0.56944,0.55556
nef_Ra,56,0.20833,0.23611,0.52778,0.52778,0.55556,0.56944,0.54167,0.56944,0.55556,0.56944,0.52778
nef_Ra,57,0.18056,0.33333,0.55556,0.59722,0.56944,0.65278,0.625,0.63889,0.625,0.625,0.625
nef_Ra,58,0.17808,0.24658,0.46575,0.50685,0.47945,0.50685,0.53425,0.53425,0.52055,0.50685,0.54795
nef_Ra,59,0.16667,0.36111,0.47222,0.52778,0.55556,0.52778,0.58333,0.55556,0.56944,0.54167,0.59722
nef_Ra,60,0.16667,0.29167,0.51389,0.59722,0.56944,0.61111,0.54167,0.56944,0.58333,0.61111,0.625
nef_Ra,61,0.125,0.30556,0.43056,0.47222,0.51389,0.48611,0.51389,0.55556,0.56944,0.54167,0.58333
nef_Ra,62,0.16438,0.32877,0.50685,0.56164,0.54795,0.57534,0.57534,0.56164,0.54795,0.57534,0.57534
nef_Ra,63,0.125,0.29167,0.43056,0.51389,0.54167,0.52778,0.54167,0.52778,0.5,0.5,0.52778
nef_Ra,64,0.16667,0.34722,0.48611,0.52778,0.58333,0.625,0.61111,0.59722,0.63889,0.63889,0.625
nef_Ra,65,0.11111,0.30556,0.43056,0.48611,0.51389,0.44444,0.45833,0.47222,0.51389,0.54167,0.52778
nef_Ra,66,0.19178,0.32877,0.58904,0.54795,0.58904,0.58904,0.61644,0.63014,0.56164,0.61644,0.63014
nef_Ra,67,0.19444,0.29167,0.52778,0.58333,0.59722,0.59722,0.61111,0.56944,0.56944,0.56944,0.59722
nef_Ra,68,0.125,0.33333,0.54167,0.59722,0.61111,0.63889,0.625,0.65278,0.61111,0.625,0.625
nef_Ra,69,0.18056,0.20833,0.45833,0.47222,0.5,0.56944,0.54167,0.54167,0.52778,0.55556,0.55556
nef_Ra,70,0.16438,0.32877,0.45205,0.54795,0.56164,0.58904,0.56164,0.57534,0.58904,0.60274,0.56164
nef_Ra,71,0.13889,0.34722,0.47222,0.54167,0.52778,0.52778,0.5,0.52778,0.5,0.51389,0.55556
nef_Ra,72,0.15278,0.29167,0.51389,0.54167,0.56944,0.51389,0.5,0.48611,0.51389,0.47222,0.5
nef_Ra,73,0.19444,0.38889,0.54167,0.59722,0.63889,0.65278,0.65278,0.59722,0.68056,0.66667,0.69444
nef_Ra,74,0.10959,0.27397,0.42466,0.50685,0.56164,0.57534,0.52055,0.53425,0.53425,0.54795,0.56164
nef_Ra,75,0.16667,0.27778,0.45833,0.47222,0.5,0.52778,0.5,0.52778,0.52778,0.58333,0.55556
nef_Ra,76,0.13889,0.375,0.51389,0.54167,0.54167,0.5,0.54167,0.52778,0.5,0.55556,0.54167
nef_Ra,77,0.15278,0.33333,0.48611,0.5,0.58333,0.58333,0.59722,0.61111,0.63889,0.625,0.68056
nef_Ra,78,0.12329,0.28767,0.42466,0.50685,0.60274,0.57534,0.56164,0.53425,0.56164,0.58904,0.58904
