,,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
nef_Ra,0,0.18056,0.08333,0.27778,0.36111,0.40278,0.43056,0.43056,0.43056,0.43056,0.41667,0.40278
nef_Ra,1,0.13889,0.13889,0.30556,0.31944,0.375,0.41667,0.375,0.41667,0.45833,0.45833,0.45833
nef_Ra,2,0.23288,0.10959,0.30137,0.38356,0.36986,0.39726,0.39726,0.38356,0.38356,0.39726,0.39726
nef_Ra,3,0.11111,0.09722,0.23611,0.29167,0.29167,0.33333,0.33333,0.31944,0.34722,0.33333,0.375
nef_Ra,4,0.08333,0.13889,0.30556,0.31944,0.36111,0.36111,0.375,0.375,0.38889,0.40278,0.45833
nef_Ra,5,0.18056,0.16667,0.31944,0.31944,0.375,0.375,0.38889,0.38889,0.43056,0.43056,0.43056
nef_Ra,6,0.17808,0.16438,0.28767,0.36986,0.36986,0.39726,0.38356,0.41096,0.39726,0.42466,0.41096
nef_Ra,7,0.09722,0.125,0.27778,0.30556,0.31944,0.375,0.375,0.34722,0.40278,0.375,0.375
nef_Ra,8,0.11111,0.16667,0.27778,0.30556,0.36111,0.375,0.41667,0.40278,0.38889,0.38889,0.38889
nef_Ra,9,0.16667,0.13889,0.27778,0.34722,0.40278,0.44444,0.45833,0.45833,0.45833,0.41667,0.48611
nef_Ra,10,0.20548,0.10959,0.21918,0.24658,0.26027,0.27397,0.30137,0.28767,0.30137,0.30137,0.31507
nef_Ra,11,0.16667,0.16667,0.29167,0.40278,0.44444,0.45833,0.44444,0.44444,0.44444,0.43056,0.48611
nef_Ra,12,0.13889,0.09722,0.27778,0.33333,0.34722,0.38889,0.44444,0.41667,0.41667,0.41667,0.43056
nef_Ra,13,0.13889,0.09722,0.23611,0.29167,0.38889,0.44444,0.43056,0.41667,0.43056,0.43056,0.47222
nef_Ra,14,0.16438,0.16438,0.26027,0.34247,0.34247,0.35616,0.38356,0.38356,0.42466,0.39726,0.39726
nef_Ra,15,0.15278,0.15278,0.33333,0.36111,0.38889,0.41667,0.38889,0.38889,0.41667,0.41667,0.41667
nef_Ra,16,0.18056,0.18056,0.23611,0.29167,0.34722,0.31944,0.30556,0.29167,0.31944,0.38889,0.31944
nef_Ra,17,0.16667,0.15278,0.29167,0.375,0.43056,0.45833,0.45833,0.47222,0.47222,0.45833,0.47222
nef_Ra,18,0.12329,0.13699,0.32877,0.35616,0.38356,0.39726,0.43836,0.42466,0.46575,0.43836,0.45205
nef_Ra,19,0.16667,0.09722,0.20833,0.30556,0.29167,0.34722,0.33333,0.36111,0.36111,0.375,0.40278
nef_Ra,20,0.13889,0.11111,0.30556,0.34722,0.33333,0.40278,0.38889,0.38889,0.40278,0.375,0.41667
nef_Ra,21,0.125,0.13889,0.25,0.30556,0.33333,0.375,0.38889,0.40278,0.38889,0.41667,0.47222
nef_Ra,22,0.13699,0.12329,0.23288,0.27397,0.32877,0.34247,0.32877,0.34247,0.35616,0.38356,0.38356
nef_Ra,23,0.18056,0.18056,0.30556,0.38889,0.45833,0.45833,0.47222,0.48611,0.47222,0.45833,0.47222
nef_Ra,24,0.13889,0.13889,0.31944,0.27778,0.34722,0.33333,0.34722,0.375,0.38889,0.41667,0.375
nef_Ra,25,0.19444,0.11111,0.25,0.30556,0.33333,0.36111,0.36111,0.36111,0.375,0.34722,0.38889
nef_Ra,26,0.19178,0.17808,0.32877,0.35616,0.38356,0.45205,0.39726,0.42466,0.41096,0.42466,0.45205
nef_Ra,27,0.125,0.08333,0.25,0.31944,0.38889,0.41667,0.41667,0.43056,0.43056,0.41667,0.43056
nef_Ra,28,0.13889,0.125,0.23611,0.31944,0.34722,0.38889,0.40278,0.40278,0.45833,0.44444,0.44444
nef_Ra,29,0.15278,0.125,0.33333,0.34722,0.375,0.38889,0.41667,0.40278,0.38889,0.40278,0.38889
nef_Ra,30,0.10959,0.13699,0.27397,0.32877,0.34247,0.41096,0.42466,0.43836,0.41096,0.42466,0.42466
nef_Ra,31,0.16667,0.13889,0.30556,0.34722,0.375,0.375,0.38889,0.36111,0.40278,0.38889,0.36111
nef_Ra,32,0.18056,0.125,0.25,0.36111,0.40278,0.38889,0.44444,0.40278,0.41667,0.41667,0.43056
nef_Ra,33,0.125,0.09722,0.20833,0.25,0.22222,0.26389,0.26389,0.25,0.30556,0.33333,0.31944
nef_Ra,34,0.13699,0.12329,0.34247,0.39726,0.45205,0.49315,0.50685,0.52055,0.52055,0.52055,0.54795
nef_Ra,35,0.13889,0.125,0.23611,0.27778,0.33333,0.375,0.34722,0.375,0.375,0.40278,0.40278
nef_Ra,36,0.15278,0.09722,0.22222,0.33333,0.375,0.375,0.375,0.33333,0.40278,0.41667,0.41667
nef_Ra,37,0.19444,0.13889,0.29167,0.31944,0.36111,0.38889,0.40278,0.40278,0.375,0.375,0.40278
nef_Ra,38,0.12329,0.10959,0.24658,0.31507,0.34247,0.34247,0.38356,0.35616,0.38356,0.36986,0.38356
nef_Ra,39,0.15278,0.09722,0.30556,0.40278,0.43056,0.43056,0.48611,0.5,0.43056,0.43056,0.43056
nef_Ra,40,0.11111,0.125,0.26389,0.27778,0.31944,0.36111,0.38889,0.40278,0.38889,0.38889,0.40278
nef_Ra,41,0.13889,0.16667,0.31944,0.375,0.38889,0.41667,0.41667,0.41667,0.43056,0.38889,0.38889
nef_Ra,42,0.12329,0.08219,0.30137,0.39726,0.41096,0.43836,0.43836,0.42466,0.45205,0.42466,0.42466
nef_Ra,43,0.18056,0.16667,0.30556,0.34722,0.36111,0.40278,0.36111,0.34722,0.40278,0.40278,0.41667
nef_Ra,44,0.19444,0.125,0.31944,0.33333,0.40278,0.44444,0.44444,0.45833,0.45833,0.45833,0.45833
nef_Ra,45,0.22222,0.11111,0.29167,0.34722,0.40278,0.40278,0.40278,0.40278,0.40278,0.40278,0.38889
nef_Ra,46,0.17808,0.13699,0.23288,0.31507,0.31507,0.36986,0.39726,0.41096,0.39726,0.39726,0.35616
nef_Ra,47,0.11111,0.16667,0.29167,0.27778,0.29167,0.29167,0.36111,0.34722,0.38889,0.38889,0.40278
